#stake     ar       d1       d2       d3      x      y    h   dw rhow   imw   ds rhos   ims  nswe bw_str bs_str ba_str bw_fld bs_fld ba_fld
B07      2004 20030924 20040430 20040927 630489 439237 1356  4.09 485    NA  1.30 600    NA   .12   1.99  -1.21    .78   1.99  -1.09    .90
B08      2004 20030930 20040428 20040930 639033 476494  742   .00  NA    NA    NA  NA  6.11   .00    .00  -6.11  -6.11    .00  -6.11  -6.11
B09      2004 20030930 20040428 20040930 638594 476173  756   .21 809    NA    NA  NA  5.29   .00    .17  -5.46  -5.29    .17  -5.46  -5.29
B10      2004 20030930 20040428 20040930 637583 472822  842   .35 809    NA    NA  NA  4.69   .00    .28  -4.97  -4.69    .27  -4.97  -4.71
B12      2004 20030930 20040428 20040930 632109 462542 1076  1.81 549    NA    NA  NA  1.71   .00    .99  -2.70  -1.71    .96  -2.70  -1.74
B13      2004 20030930 20040428 20040927 627952 455382 1206  2.79 520    NA    NA  NA   .85   .09   1.45  -2.30   -.85   1.32  -2.21   -.89
B14      2004 20030928 20040428 20040927 624196 449795 1308  3.84 494    NA   .61 600    NA   .10   1.90  -1.53    .37   1.81  -1.43    .38
B16      2004 20030924 20040427 20040927 610892 434373 1525  4.74 466    NA  2.43 600    NA   .17   2.21   -.75   1.46   2.05   -.57   1.48
B17      2004 20030930 20040428 20040927 620564 459143 1209  2.20 494    NA    NA  NA  1.40   .08   1.09  -2.49  -1.40   1.00  -2.41  -1.41
B18      2004 20030929 20040429 20040927 643860 450591 1308  4.33 506    NA  1.08 600    NA   .14   2.19  -1.54    .65   2.15  -1.41    .74
B19      2004 20030929 20040430 20040927 648156 444036 1431  5.38 460    NA    NA  NA    NA   .17   2.48     NA     NA   2.39     NA     NA
BB0      2004 20030929 20040430 20040927 640704 433964 1522  4.87 480    NA  3.07 600    NA   .19   2.34   -.50   1.84   2.24   -.31   1.93
