#stake     ar       d1       d2       d3      x      y    h   dw rhow   imw   ds rhos   ims  nswe bw_str bs_str ba_str bw_fld bs_fld ba_fld
B07      2009 20080927 20090516 20091014 630497 439229 1355  4.13 448    NA  1.70 600   .00   .24   1.85   -.83   1.02   1.85   -.59   1.26
B08      2009 20081002 20090515 20091014 638150 476044  739   .64 441    NA    NA  NA  4.80   .01    .28  -5.08  -4.80    .04  -5.07  -5.04
B09      2009 20081002 20090515 20091014 638596 476175  731   .20 590    NA    NA  NA  5.26   .01    .12  -5.38  -5.26   -.13  -5.38  -5.50
B10      2009 20081002 20090515 20091014 637583 472828  823  1.25 549    NA    NA  NA  3.93   .04    .69  -4.62  -3.93    .42  -4.58  -4.16
B12      2009 20081002 20090514 20091014 632110 462542 1075  2.45 443    NA    NA  NA   .92   .12   1.08  -2.00   -.92    .39  -1.88  -1.50
B13      2009 20081002 20090514 20091014 627935 455370 1211  2.91 480    NA    NA  NA   .10   .16   1.40  -1.49   -.10   1.31  -1.33   -.02
B14      2009 20081002 20090514 20091014 624227 449850 1310  3.76 446    NA  1.53 600   .00   .20   1.68   -.76    .92   1.61   -.56   1.04
B15      2009 20081002 20090514 20091014 620217 443852 1394  4.14 447    NA  1.96 600   .00   .20   1.85   -.68   1.18   1.75   -.48   1.27
B16      2009 20081001 20090514 20091014 610875 434402 1523  5.54 465    NA  3.78 600   .00   .37   2.58   -.31   2.27   2.35    .06   2.41
B17      2009 20081002 20090514 20091014 620555 459170 1210  2.35 458    NA    NA  NA   .60   .16   1.08  -1.68   -.60   1.01  -1.52   -.51
B18      2009 20080927 20090516 20091013 643861 450592 1308  4.20 464    NA  2.50 600   .00   .24   1.95   -.45   1.50   1.95   -.21   1.74
B19      2009 20080927 20090516 20091013 648148 444036 1428  5.77 462    NA  4.29 600   .00   .35   2.67   -.10   2.57   2.66    .25   2.91
BB0      2009 20080927 20090516 20091013 640689 433970 1518  5.78 449    NA  3.87 600   .00   .40   2.60   -.28   2.32   2.46    .13   2.58
Bor      2009 20080928 20090604 20091015 580190 435923 1397  5.11 504    NA  2.15 600   .00   .11   2.57  -1.28   1.29   2.43  -1.18   1.26
Borth    2009       NA 20090604 20091015 581003 436295 1395  4.56 510    NA  1.26 600   .00   .12   2.33  -1.57    .76   2.33  -1.45    .88
Br1      2009 20081001 20090413 20090930 630438 401561  147    NA  NA   .74    NA  NA  9.49   .00   -.74  -9.49 -10.22   -.74  -9.49 -10.22
Br2      2009 20081001 20090222 20090930 627881 403128  264    NA  NA   .68    NA  NA  6.51   .00   -.68  -6.51  -7.19   -.68  -6.51  -7.19
Br3      2009 20081001 20090222 20090930 626770 407288  425    NA  NA   .20    NA  NA  5.04   .00   -.20  -5.04  -5.24   -.20  -5.04  -5.24
Br7      2009 20081002 20090516 20091014 631192 432481 1247  4.00 481    NA  1.00 600   .00   .20   1.92  -1.32    .60   1.91  -1.12    .79
Bru      2009 20081002 20090515 20091013 646937 468267  794  1.07 640    NA    NA  NA  3.90   .04    .68  -4.58  -3.90    .18  -4.55  -4.36
Bud      2009 20081002 20090515 20091013 643653 458794 1133  3.04 477    NA    NA  NA   .08   .12   1.45  -1.53   -.08   1.32  -1.41   -.09
D05      2009 20080930 20090516 20091015 600080 469518 1171  2.05 511    NA    NA  NA  1.42   .12   1.05  -2.47  -1.42   1.00  -2.36  -1.36
D07      2009 20080930 20090516 20091015 596202 461207 1364  3.20 477    NA   .86 600   .00   .19   1.53  -1.01    .52   1.36   -.83    .53
D09      2009 20080930 20090516 20091015 595530 449112 1577  4.57 452    NA  2.86 600   .00   .32   2.07   -.35   1.72   1.84   -.04   1.81
D12      2009 20080930 20090516 20091015 596041 443896 1646  5.66 470    NA  3.93 600   .00   .39   2.66   -.30   2.36   2.40    .09   2.49
E01      2009 20080927 20090515 20091013 664210 470130  697   .53 640    NA    NA  NA  4.33   .02    .34  -4.67  -4.33    .34  -4.65  -4.31
E02      2009 20080927 20090515 20091013 662400 465596  954  2.98 618    NA    NA  NA  1.38   .05   1.84  -3.22  -1.38   1.84  -3.17  -1.32
E03      2009 20080927 20090515 20091013 661910 460952 1186  4.61 528    NA   .60 600   .00   .21   2.43  -2.07    .36   2.43  -1.86    .57
E04      2009 20080927 20090515 20091013 661928 457804 1286  5.19 519    NA  2.57 600   .00   .24   2.60  -1.06   1.54   2.60   -.82   1.79
G02      2009 20080929 20090604 20091015 582084 439536 1560  4.72 479    NA  2.11 600   .00   .20   2.26  -1.00   1.27   2.09   -.80   1.29
G03      2009 20080929 20090604 20091015 583076 442491 1654  4.40 478    NA    NA 600    NA   .25   2.10     NA     NA   1.88     NA     NA
G04      2009 20080930 20090604 20091015 584062 445441 1685  5.08 483    NA  3.20 600   .00   .30   2.45   -.53   1.92   2.22   -.23   1.99
Gb2      2009 20080927 20090515 20091013 643740 455198 1199  3.71 470    NA   .57 600   .00   .16   1.74  -1.40    .34   1.74  -1.24    .50
Gh01c    2009       NA 20090604 20091015 583602 444007 1673    NA  NA    NA    NA 600    NA   .35     NA    .10     NA     NA    .45     NA
Gh03c    2009       NA 20090604 20091015 582446 440536 1617    NA  NA    NA    NA 600    NA   .20     NA   -.18     NA     NA    .02     NA
Gh04c    2009       NA 20090604 20091015 581855 438951 1542    NA  NA    NA    NA 600    NA   .12     NA   -.51     NA     NA   -.39     NA
Gh05c    2009       NA 20090604 20091015 581559 437901 1499    NA  NA    NA    NA 600    NA   .12     NA   -.86     NA     NA   -.74     NA
Gh06c    2009       NA 20090604 20091015 581230 437080 1418    NA  NA    NA    NA 600    NA   .23     NA  -1.04     NA     NA   -.81     NA
Gh09c    2009       NA 20090604 20091015 582674 437585 1503    NA  NA    NA    NA 600    NA   .17     NA   -.94     NA     NA   -.77     NA
Gh10c    2009       NA 20090604 20091015 583527 436853 1506    NA  NA    NA    NA 600    NA   .21     NA  -1.00     NA     NA   -.79     NA
Gh11c    2009       NA 20090604 20091015 582583 436271 1437    NA  NA    NA    NA 600    NA   .20     NA   -.99     NA     NA   -.79     NA
Gh12c    2009       NA 20090604 20091015 581790 435339 1403    NA  NA    NA    NA 600    NA   .22     NA  -1.48     NA     NA  -1.26     NA
Gh13c    2009       NA 20090604 20091015 581021 435588 1393    NA  NA    NA    NA 600    NA   .16     NA  -1.31     NA     NA  -1.15     NA
Gh15c    2009       NA 20090604 20091015 577069 438259 1542    NA  NA    NA    NA 600    NA   .17     NA   -.66     NA     NA   -.49     NA
Gh16c    2009       NA 20090604 20091015 578673 437848 1473    NA  NA    NA    NA 600    NA   .18     NA   -.97     NA     NA   -.79     NA
Gh17c    2009       NA 20090604 20091015 579334 436927 1421    NA  NA    NA    NA 600    NA   .17     NA  -1.35     NA     NA  -1.18     NA
Gh18c    2009       NA 20090604 20091015 579432 435992 1418    NA  NA    NA    NA 600    NA   .10     NA  -1.57     NA     NA  -1.47     NA
Gh19c    2009       NA 20090604 20091015 579561 434900 1414    NA  NA    NA    NA 600    NA   .17     NA  -1.55     NA     NA  -1.38     NA
Go1      2009 20080930 20090604 20091015 575930 452644 1757  4.92 490    NA  3.25 600   .00   .36   2.41   -.46   1.95   2.04   -.09   1.95
Haab     2009 20080929 20090604 20091015 577217 428437 1728  6.29 470    NA  4.22 600   .00   .17   2.96   -.42   2.54   2.46   -.24   2.22
Hof01    2009 20080927 20090515 20091013 663354 452614 1124  5.16 537    NA  1.00 600   .00   .15   2.77  -2.17    .60   2.74  -2.02    .72
Hosp     2009 20081109 20090327 20090930 669570 441282   86    NA  NA   .70    NA  NA  8.47    NA   -.70  -8.47  -9.17   -.70  -8.47  -9.17
