#stake     ar       d1       d2       d3      x      y    h   dw rhow   imw   ds rhos   ims  nswe bw_str bs_str ba_str bw_fld bs_fld ba_fld
B07      2023 20221017 20230504 20231027 630454 439245 1356  3.90 513    NA  1.10 600    NA   .34   2.00  -1.34    .66   1.80  -1.00    .80
B09      2023 20221017 20230505 20231024 637922 474330  723   .15 600    NA    NA  NA    NA   .02    .09  -6.44  -6.35    .08  -6.42  -6.34
B10      2023 20221017 20230505 20231024 637581 472825  754   .20 551    NA    NA  NA -5.63   .04    .11  -5.74  -5.63    .09  -5.70  -5.61
B11      2023 20221017 20230505 20231024 634810 467597  942  1.69 589    NA    NA  NA -3.56   .16    .99  -4.56  -3.56    .85  -4.40  -3.55
B12      2023 20221017 20230505 20231024 632115 462499 1075  1.91 510    NA    NA  NA -2.69   .25    .97  -3.66  -2.69    .78  -3.41  -2.63
B13      2023 20221017 20230504 20231026 628035 455472 1219  3.14 519    NA    NA  NA  -.38   .35   1.63  -2.01   -.38   1.43  -1.66   -.23
B14      2023 20221017 20230504 20231023 624160 449867 1321  3.44 468    NA   .51 600    NA   .35   1.61  -1.30    .31   1.47   -.95    .51
B15      2023 20221017 20230504 20231024 620186 443873 1403  4.11 470    NA  1.36 600    NA   .35   1.93  -1.11    .82   1.80   -.76   1.03
B16      2023 20221017 20230508 20231023 611762 435388 1526  3.89 479    NA  1.81 600    NA   .38   1.86   -.78   1.09   1.80   -.40   1.41
B17      2023 20221017 20230504 20231023 620566 459173 1214  2.38 455    NA    NA  NA -1.67   .39   1.08  -2.75  -1.67    .85  -2.36  -1.51
B18      2023 20221017 20230503 20231023 643870 450602 1314  4.35 460    NA   .93 600    NA   .40   2.00  -1.44    .56   1.74  -1.04    .70
B19      2023 20221017 20230503 20231023 647481 444081 1438  6.27 464    NA  4.00 600    NA   .37   2.91   -.51   2.40   2.71   -.14   2.57
Barc     2023       NA 20230531 20231024 574281 460792 1902  4.95 473    NA  3.59 600    NA   .47   2.34   -.19   2.15   2.34    .28   2.62
BB0      2023 20221017 20230504 20231023 640697 433955 1516  5.46 467    NA  2.74 600    NA   .46   2.55   -.91   1.64   2.42   -.45   1.97
BB06     2023       NA 20230531 20231024 571154 457342 1910  4.29 460    NA    NA  NA    NA   .32   1.98     NA     NA   1.98     NA     NA
BB08     2023       NA 20230531 20231024 577075 462008 1867  3.99 460    NA    NA  NA    NA   .37   1.84     NA     NA   1.84     NA     NA
Bor      2023 20221019 20230602 20231027 580203 435910 1409  4.29 556    NA   .72 600    NA   .27   2.37  -1.94    .43   2.21  -1.67    .54
Borth    2023 20221019 20230507 20231027 580965 436031 1407  4.38 500    NA   .94 600    NA   .27   2.19  -1.63    .56   2.03  -1.36    .67
Br1      2023 20221017 20230501 20231022 630134 402338   67    NA 900  3.32    NA  NA -2.99   .00  -2.99  -9.20 -12.19  -2.99  -9.20 -12.19
Br2      2023       NA 20230501 20231022 627908 402981  147    NA 900  2.66    NA  NA -2.39   .00  -2.39  -9.11 -11.50  -2.39  -9.11 -11.50
Br3      2023       NA 20230501 20231022 626576 406755  345    NA 900   .91    NA  NA  -.82   .00   -.82  -7.43  -8.25   -.82  -7.43  -8.25
Br7      2023 20221017 20230504 20231023 631181 432481 1242  3.73 531    NA   .73 600    NA   .21   1.98  -1.54    .44   1.83  -1.33    .50
Bru      2023 20221017 20230503 20231023 646001 465913  888  1.30 530    NA    NA  NA -4.06   .12    .68  -4.74  -4.06    .64  -4.62  -3.97
Bud      2023 20221017 20230503 20231023 643668 458800 1135  2.93 549    NA    NA  NA -1.48   .37   1.61  -3.08  -1.48   1.38  -2.71  -1.33
D01      2023       NA 20230505       NA 602977 479223  836  -.50 900    NA    NA  NA -4.90   .00    .45  -5.34  -4.90    .45  -5.34  -4.90
D05      2023 20221018 20230505 20231026 599592 468619 1204  1.82 528    NA    NA  NA -2.19   .35    .96  -3.15  -2.19    .76  -2.80  -2.03
D07      2023 20221018 20230505 20231026 596194 461193 1376  3.79 495    NA  1.09 600    NA   .36   1.88  -1.22    .65   1.61   -.86    .75
D09      2023 20221018 20230505 20231026 594602 454436 1486  4.00 506    NA  1.70 600    NA   .32   2.02  -1.00   1.02   1.74   -.68   1.06
D12      2023 20221018 20230505 20231024 596003 443871 1649  4.08 467    NA  2.34 600    NA   .29   1.91   -.50   1.40   1.70   -.21   1.49
E01      2023 20221017 20230503 20231024 663158 468461  749   .65 700    NA    NA  NA -5.27   .02    .46  -5.72  -5.26    .44  -5.70  -5.26
E02      2023 20221017 20230503 20231024 662395 465551  947  1.89 529    NA    NA  NA -3.77   .11   1.00  -4.77  -3.77    .93  -4.66  -3.73
E03      2023 20221017 20230503 20231024 661924 460865 1189  4.71 506    NA    NA  NA  -.57   .35   2.38  -2.96   -.57   2.22  -2.61   -.39
E04      2023 20221017 20230503 20231024 661869 457762 1286  4.79 504    NA  1.02 600    NA   .32   2.42  -1.80    .61   2.22  -1.48    .74
E07      2023 20221017 20230503 20231024 671449 464756 1067  3.84 512    NA    NA  NA -2.13   .26   1.97  -4.10  -2.13   1.77  -3.84  -2.07
E08      2023 20221017 20230503 20231024 671991 467221  945  2.31 543    NA    NA  NA -3.22   .07   1.25  -4.48  -3.22   1.22  -4.41  -3.19
Fl01     2023 20221017 20230503 20231023 647947 440728 1346  6.40 490    NA  3.18 600    NA   .27   3.16  -1.25   1.91   3.01   -.98   2.03
G02      2023 20221018 20230507 20231024 582064 439508 1565  3.83 492    NA  1.83 600    NA   .15   1.89   -.79   1.10   1.74   -.64   1.10
G03      2023 20221018 20230507 20231024 583093 442500 1659  4.16 483    NA  2.30 600    NA   .26   2.01   -.63   1.38   1.87   -.37   1.50
G04      2023 20221018 20230506 20231024 584060 445469 1688  4.00 477    NA  2.31 600    NA   .35   1.91   -.52   1.39   1.73   -.17   1.56
Go1      2023 20221018 20230506 20231024 575950 452583 1759  3.50 490    NA  2.05 600    NA   .37   1.71   -.48   1.23   1.53   -.11   1.41
Haab     2023 20221018 20230506 20231025 577213 428451 1728  5.06 460    NA  3.50 600    NA   .27   2.34   -.24   2.10   2.17    .03   2.20
Hof01    2023 20221017 20230503 20231024 663203 453018 1140  4.21 486    NA    NA  NA    NA   .18   2.04  -2.26   -.22   1.94  -2.08   -.14
K01      2023 20221018 20230506 20231025 554380 454366 1033   .45 590    NA    NA  NA -4.50   .04    .26  -4.76  -4.50    .22  -4.72  -4.51
K02      2023 20221018 20230506 20231025 556152 453707 1165  1.62 557    NA    NA  NA -2.87   .16    .90  -3.77  -2.87    .84  -3.61  -2.77
K03      2023 20221018 20230506 20231025 558794 452697 1289  2.01 539    NA    NA  NA -1.95   .20   1.08  -3.04  -1.95    .95  -2.84  -1.89
K04      2023 20221018 20230506 20231025 562145 450863 1484  2.61 529    NA   .14 600    NA   .13   1.38  -1.30    .08   1.20  -1.17    .04
K05      2023 20221018 20230506 20231025 567560 451416 1676  3.31 472    NA  1.65 600    NA   .28   1.56   -.57    .99   1.38   -.29   1.09
K06      2023 20221018 20230506 20231024 570659 460607 1943  4.80 473    NA  4.52 600    NA   .42   2.27    .44   2.71   1.92    .86   2.78
K07      2023 20221018 20230506 20231025 562470 443258 1528  2.85 476    NA   .57 600    NA   .27   1.36  -1.01    .34   1.22   -.74    .48
Kverk    2023 20221020 20230601 20231024 611079 462391 1823  4.39 481    NA  2.97 600    NA   .49   2.11   -.33   1.78   1.62    .16   1.78
S01      2023 20221018 20230506       NA 556868 402080  696   .20 716    NA    NA  NA    NA   .00    .14     NA     NA    .14     NA     NA
S02      2023 20221018 20230506 20231025 557491 411661  996  2.32 533    NA    NA  NA -3.00   .08   1.24  -4.23  -3.00   1.24  -4.15  -2.92
S04      2023 20221018 20230506 20231025 557992 419134 1153  2.73 540    NA    NA  NA -1.64   .14   1.49  -3.12  -1.64   1.42  -2.98  -1.56
S05      2023 20221018 20230506 20231025 569276 427421 1448  4.29 510    NA  1.74 600    NA   .27   2.18  -1.13   1.04   2.02   -.86   1.16
Ske02    2023 20221019 20230508       NA 596865 419616 1176  2.75 583    NA    NA  NA    NA   .00   1.60     NA     NA   1.57     NA     NA
Ske03    2023 20221019 20230508 20231026 599887 423692 1295  3.82 508    NA   .59 600    NA   .35   1.94  -1.59    .35   1.80  -1.24    .56
Ske04    2023 20221019 20230508 20231026 603268 427696 1397  3.39 523    NA   .79 600    NA   .25   1.77  -1.30    .47   1.64  -1.05    .59
Ske05    2023 20221019 20230508 20231026 606814 431700 1470  4.08 484    NA  1.71 600    NA   .34   1.98   -.95   1.03   1.83   -.61   1.22
Skf00    2023       NA 20230502 20231023 650150 420964  942  3.02 550    NA    NA  NA -2.22   .09   1.66  -3.88  -2.22   1.66  -3.79  -2.13
Skf01    2023 20221017 20230503 20231023 641114 425251 1280  5.40 533    NA  2.25 600    NA  1.13   2.88  -1.53   1.35   2.76   -.40   2.36
T01      2023 20221027 20230507       NA 543110 424414  758   .00  NA    NA    NA  NA -6.60   .00    .00  -6.60  -6.60    .00  -6.60  -6.60
T02      2023 20221018 20230507 20231025 544696 425039  878   .30 588    NA    NA  NA -4.76   .00    .18  -4.94  -4.76    .18  -4.94  -4.76
T03      2023 20221018 20230507 20231025 549458 426450 1059   .98 650    NA    NA  NA -3.45   .02    .63  -4.08  -3.45    .63  -4.06  -3.43
T04      2023 20221018 20230507 20231025 555125 428660 1216  2.51 550    NA    NA  NA -1.22   .12   1.38  -2.60  -1.22   1.33  -2.48  -1.16
T05      2023 20221018 20230507 20231025 561953 430514 1341  3.16 519    NA    NA  NA  -.01   .18   1.64  -1.65   -.01   1.52  -1.47    .04
T06      2023 20221018 20230506 20231025 567081 434354 1465  3.70 510    NA  1.75 600    NA   .20   1.89   -.84   1.05   1.77   -.64   1.13
T07      2023 20221018 20230506 20231025 571305 436349 1561  4.13 484    NA  2.09 600    NA   .21   2.00   -.74   1.25   1.82   -.53   1.29
T08      2023 20221018 20230506 20231025 574037 438282 1634  4.12 471    NA  2.24 600    NA   .26   1.94   -.60   1.34   1.82   -.34   1.48
