#stake     ar       d1       d2       d3      x      y    h   dw rhow   imw   ds rhos   ims  nswe bw_str bs_str ba_str bw_fld bs_fld ba_fld
B07      2014 20131003 20140507 20141011 630477 439239 1355  4.63 511    NA  1.88 600   .00   .25   2.37  -1.24   1.13   2.30   -.99   1.32
B09      2014 20131003 20140506 20141012 638441 475389  745  1.44 570    NA    NA  NA  4.30   .00    .81  -5.12  -4.30    .81  -5.12  -4.30
B10      2014 20131003 20140506 20141012 637585 472834  801  1.52 554    NA    NA  NA  4.00  3.50    .84  -4.84  -4.00    .84  -1.34   -.50
B11      2014 20131003 20140506 20141012 634822 467633  957  2.79 517    NA    NA  NA  1.82   .04   1.44  -3.26  -1.82   1.44  -3.22  -1.78
B12      2014 20131003 20140506 20141012 632127 462526 1074  3.10 502    NA    NA  NA  1.28 14.00   1.56  -2.83  -1.28   1.49  11.16  12.65
B13      2014 20131003 20140506 20141012 627964 455357 1213  3.46 506    NA   .10 600   .00   .13   1.75  -1.69    .06   1.69  -1.56    .13
B14      2014 20131003 20140505 20141012 624215 449850 1312  4.20 497    NA  1.22 600   .00   .25   2.09  -1.35    .73   2.03  -1.10    .93
B15      2014 20131003 20140505 20141012 620200 443826 1397  4.39 471    NA  1.72 600   .00   .30   2.07  -1.03   1.03   2.00   -.74   1.26
B16      2014 20131007 20140505 20141016 611816 435396 1523  4.56 481    NA  2.44 600   .00   .37   2.19   -.73   1.46   2.05   -.36   1.69
B17      2014 20131003 20140506 20141012 620570 459175 1210  3.51 496    NA   .32 600   .00   .13   1.74  -1.55    .19   1.72  -1.42    .31
B18      2014 20131002 20140506 20141011 643867 450621 1310  4.93 509    NA  1.80 600   .00   .18   2.51  -1.43   1.08   2.42  -1.25   1.17
B19      2014 20131002 20140507 20141011 648161 444029 1428  6.17 480    NA  3.69 600   .00   .33   2.96   -.75   2.21   2.90   -.43   2.48
BB0      2014 20131002 20140507 20141011 640689 433975 1517  6.32 494    NA  3.82 600   .00   .48   3.12   -.83   2.29   3.10   -.36   2.74
Bor      2014 20131004 20140604 20141015 580201 435911 1397  3.11 600    NA    NA  NA   .11   .39   1.86  -1.97   -.11   1.76  -1.58    .17
Borth    2014 20131006 20140604 20141015 581000 436208 1398  3.05 600    NA    NA  NA   .53   .40   1.83  -2.35   -.53   1.70  -1.95   -.26
Br1      2014 20131008 20140501 20140930 630420 401600  107    NA  NA  1.57    NA  NA  9.16   .00  -1.57  -9.16 -10.73  -1.57  -9.16 -10.73
Br2      2014       NA 20140507 20140930 627890 403048  229    NA  NA   .50    NA  NA  7.53    NA   -.50  -7.53  -8.03   -.50  -7.53  -8.03
Br3      2014       NA 20140507       NA 626460 406928  398   .60 600    NA    NA 600    NA    NA    .26     NA     NA    .26     NA     NA
Br4      2014 20131001 20140507 20140930 629421 411188  524   .90 560    NA    NA  NA  6.12    NA    .50  -6.62  -6.12    .50  -6.62  -6.12
Br7      2014 20131003 20140507 20141011 631181 432490 1244  5.07 521    NA   .39 600   .00   .21   2.64  -2.41    .23   2.61  -2.20    .41
Bru      2014 20131002 20140506 20141011 646932 468278  769  1.38 596    NA    NA  NA  4.72   .00    .82  -5.55  -4.72    .82  -5.55  -4.72
Bud      2014 20131002 20140506 20141011 643665 458803 1133  4.05 514    NA    NA  NA   .09   .06   2.08  -2.17   -.09   2.07  -2.11   -.04
D05      2014 20131004 20140505 20141013 599612 468637 1199  3.51 493    NA    NA  NA   .32   .21   1.73  -2.05   -.32   1.72  -1.84   -.13
D07      2014 20131004 20140505 20141013 596196 461184 1368  3.61 476    NA   .68 600   .00   .19   1.72  -1.31    .41   1.68  -1.12    .56
D09      2014 20131004 20140505 20141013 595542 449106 1578  3.85 473    NA  1.88 600   .00   .34   1.82   -.69   1.13   1.70   -.35   1.34
D12      2014 20131003 20140505 20141013 596038 443888 1644  4.12 492    NA  2.64 600   .00   .39   1.98   -.40   1.58   1.84   -.01   1.83
E01      2014 20131002 20140507 20141011 664141 470011  678  1.53 600    NA    NA  NA  5.02   .00    .92  -5.94  -5.02    .92  -5.94  -5.02
E02      2014 20131002 20140507 20141011 662408 465593  952  3.72 563    NA    NA  NA  1.86   .04   2.09  -3.95  -1.86   2.08  -3.91  -1.83
E03      2014 20131002 20140507 20141011 661912 460983 1185  5.11 491    NA  1.10 600   .00   .12   2.51  -1.85    .66   2.39  -1.73    .66
E04      2014 20131002 20140506 20141011 661926 457792 1286  5.56 492    NA  2.44 600   .00   .25   2.73  -1.27   1.46   2.59  -1.02   1.57
