#stake     ar       d1       d2       d3      x      y    h   dw rhow   imw   ds rhos   ims  nswe bw_str bs_str ba_str bw_fld bs_fld ba_fld
B07      2018 20171024 20180509 20181009 630475 439242 1357  4.96 481    NA  2.00 600   .00   .21   2.38  -1.18   1.20   2.19   -.97   1.22
B09      2018 20171215 20180510 20181009 638449 475390  723   .30 590    NA    NA  NA  4.95    NA    .18  -5.12  -4.95    .09  -5.12  -5.03
B10      2018 20171215 20180510 20181009 637584 472831  782   .60 713    NA    NA  NA  4.32    NA    .43  -4.75  -4.32    .36  -4.75  -4.39
B11      2018 20171215 20180510 20181009 634822 467654  950  1.78 523    NA    NA  NA  2.54   .09    .93  -3.48  -2.54    .67  -3.38  -2.72
B12      2018 20171025 20180510 20181009 632129 462509 1075  2.16 447    NA    NA  NA  1.46   .14    .88  -2.34  -1.46    .83  -2.20  -1.37
B13      2018 20171024 20180510 20181009 627991 455394 1217  3.45 458    NA   .63 600   .00   .19   1.58  -1.20    .38   1.46  -1.01    .45
B14      2018 20171024 20180509 20181009 624213 449839 1318  3.84 485    NA  1.28 600   .00   .24   1.86  -1.09    .77   1.75   -.85    .89
B15      2018 20171024 20180509 20181009 620197 443828 1402  4.15 463    NA  2.00 600   .00   .20   1.92   -.72   1.20   1.76   -.52   1.24
B16      2018 20171025 20180509 20181009 611810 435399 1527  5.46 476    NA  3.46 600   .00   .29   2.60   -.53   2.07   2.32   -.24   2.08
B17      2018 20171024 20180510 20181009 620564 459178 1213  3.01 428    NA    NA  NA   .06   .20   1.29  -1.34   -.06   1.17  -1.14    .03
B18      2018 20171024 20180508 20181009 643866 450614 1313  6.07 481    NA  3.17 600   .00   .39   2.92  -1.02   1.90   2.70   -.63   2.07
B19      2018 20171024 20180508 20181009 647501 444116 1438  6.26 465    NA  3.88 600   .00   .35   2.91   -.58   2.33   2.52   -.23   2.29
Barc     2018       NA 20180605 20181010 574196 460827 1891  5.05 478    NA  4.84 600   .00   .39   2.41    .49   2.90   2.41    .88   3.29
