#stake     ar       d1       d2       d3      x      y    h   dw rhow   imw   ds rhos   ims  nswe bw_str bs_str ba_str bw_fld bs_fld ba_fld
B08      1994 19930925 19940508 19940915 641146 477305  748   .94 574    NA    NA  NA  3.21    NA    .54  -3.75  -3.21    .54  -3.75  -3.21
B10      1994 19930925 19940508 19940915 637515 472875  881  1.43 517    NA    NA  NA  2.35    NA    .74  -3.09  -2.35    .74  -3.09  -2.35
B12      1994 19930925 19940508 19940915 632057 462526 1086  2.75 513    NA    NA  NA   .42    NA   1.41  -1.83   -.42   1.41  -1.83   -.42
B13      1994 19930925 19940620 19940915 628103 455184 1201    NA  NA    NA    NA  NA    NA    NA     NA  -1.20     NA     NA  -1.20     NA
B14      1994 19930925 19940508 19940915 624035 449659 1312  4.05 514    NA  2.17 600    NA    NA   2.08   -.78   1.30   2.08   -.78   1.30
B16      1994 19930925 19940508 19940915 611597 434220 1527  4.87 476    NA  3.45 600    NA    NA   2.32   -.25   2.07   2.28   -.25   2.03
Bor      1994 19930908 19940617 19940916 580322 436108 1453  5.08 570    NA  1.87 600    NA    NA   2.87  -1.75   1.12   2.87  -1.75   1.12
D01      1994 19930928 19940506 19940916 606857 479681  841   .54 704    NA    NA  NA  6.18    NA    .38  -6.56  -6.18    .38  -6.56  -6.18
D03      1994 19930928 19940506 19940916 606016 476137  972  1.61 472    NA    NA  NA  2.44    NA    .76  -3.20  -2.44    .76  -3.20  -2.44
D05      1994 19930928 19940506 19940916 600144 469518 1191  2.83 491    NA    NA  NA   .43    NA   1.39  -1.82   -.43   1.39  -1.82   -.43
D07      1994 19930928 19940506 19940916 596174 461041 1398  3.10 452    NA  1.43 600    NA    NA   1.40   -.54    .86   1.40   -.54    .86
D09      1994 19930928 19940506 19940916 595594 449118 1588  3.98 482    NA  3.07 600    NA    NA   1.92   -.08   1.84   1.87   -.08   1.79
G02a     1994       NA 19940621 19940830 581448 439069 1535  4.43 510    NA  2.50 600    NA    NA   2.26   -.76   1.50   2.26   -.76   1.50
G03a     1994       NA 19940621 19940915 582482 441668 1626  3.93 490    NA  2.59 600    NA    NA   1.93   -.37   1.56   1.93   -.37   1.56
K01      1994       NA 19940509 19940915 554000 454934 1056  2.22 495    NA    NA  NA    NA    NA   1.10     NA     NA   1.10     NA     NA
K03      1994       NA 19940509 19940915 558909 452640 1314  2.59 456    NA   .08 600    NA    NA   1.18  -1.13    .05   1.18  -1.13    .05
K04      1994       NA 19940509 19940915 562294 451088 1499  3.20 494    NA  1.57 600    NA    NA   1.58   -.64    .94   1.58   -.64    .94
K05      1994       NA 19940509 19940915 567656 451513 1695  3.86 479    NA  3.17 600    NA    NA   1.85    .05   1.90   1.85    .05   1.90
K06      1994       NA 19940621 19940916 570438 460326 1967  3.93 489    NA  3.42 600    NA    NA   1.92    .13   2.05   1.83    .13   1.96
Oer01    1994       NA 19940829       NA 614953 390265 1822 13.20 589    NA    NA  NA    NA    NA   7.78     NA     NA   7.78     NA     NA
T01      1994 19931008 19940409 19941010 542215 426083  772  2.45 498    NA    NA  NA  3.79    NA   1.22  -5.01  -3.79   1.22  -5.01  -3.79
T02      1994 19931008 19940409 19941010 544970 425400  991  1.23 537    NA    NA  NA  3.05    NA    .66  -3.71  -3.05    .66  -3.71  -3.05
T03      1994 19931008 19940409 19940915 549503 426836 1127  3.18 472    NA    NA  NA   .33    NA   1.50  -1.83   -.33   1.50  -1.83   -.33
T04      1994 19931008 19940409 19940915 554280 428492 1260  3.52 463    NA  1.05 600    NA    NA   1.63  -1.00    .63   1.63  -1.00    .63
T04-94   1994 19931008 19940409 19941010 545950 425691 1031   .82 500    NA    NA  NA  3.49    NA    .41  -3.90  -3.49    .41  -3.90  -3.49
T05      1994 19931008 19940409 19940915 562786 431313 1399  5.13 528    NA  2.92 600    NA    NA   2.71   -.96   1.75   2.71   -.96   1.75
T06      1994 19931008 19940409 19940915 567537 434198 1506  4.80 479    NA  3.32 600    NA    NA   2.30   -.31   1.99   2.30   -.31   1.99
T07      1994 19931008 19940409 19940915 571512 436464 1592    NA  NA    NA    NA  NA    NA    NA     NA    .02     NA     NA    .02     NA
T08      1994 19931008 19940409 19940915 574076 438381 1652  4.91 458    NA  3.98 600    NA    NA   2.25    .14   2.39   2.25    .14   2.39
T08-94   1994       NA 19940409 19940915 556540 429243 1298    NA  NA    NA    NA  NA    NA    NA     NA  -1.14     NA     NA  -1.14     NA
T14      1994 19931008 19940409 19941010 543635 426077  905  2.45 510    NA    NA  NA  2.20    NA   1.25  -3.45  -2.20   1.25  -3.45  -2.20
Z01      1994       NA 19940509 19940915 550588 437753 1125    NA  NA    NA    NA  NA    NA    NA     NA  -1.86     NA     NA  -1.86     NA
Z02      1994       NA 19940509 19940915 554819 435994 1304  5.19 476    NA  2.52 600    NA    NA   2.47   -.96   1.51   2.47   -.96   1.51
Z03      1994       NA 19940509 19940915 564000 438978 1494    NA  NA    NA    NA  NA    NA    NA     NA   -.34     NA     NA   -.34     NA
