#stake     ar       d1       d2       d3      x      y    h   dw rhow   imw   ds rhos   ims  nswe bw_str bs_str ba_str bw_fld bs_fld ba_fld
B07      2000 19990922 20000504 20000914 630475 439252 1351  3.07 491    NA   .20 600    NA   .16   1.51  -1.39    .12   1.43  -1.22    .21
B08      2000 19991108 20000502 20001007 639332 477709  702   .10 500    NA    NA  NA  6.05   .00    .05  -6.10  -6.05    .05  -6.10  -6.05
B09      2000 19991108 20000502 20001007 638756 476656  752   .20 500    NA    NA  NA  5.17   .00    .10  -5.28  -5.17    .10  -5.28  -5.17
B10      2000 19991108 20000502 20001007 637585 472821  862   .41 466    NA    NA  NA  4.88   .00    .19  -5.07  -4.88    .02  -5.07  -5.05
B12      2000 19991108 20000502 20001007 632057 462512 1082  1.69 448    NA    NA  NA  2.59   .00    .76  -3.35  -2.59    .55  -3.35  -2.80
B13      2000 19990922 20000502 20000914 627960 455287 1205  2.17 454    NA    NA  NA  1.00   .00    .99  -1.98  -1.00    .88  -1.98  -1.10
B14      2000 19990922 20000506 20000914 624152 449717 1307  3.61 470    NA    NA  NA   .27   .00   1.70  -1.97   -.27   1.63  -1.97   -.33
B16      2000 19990922 20000504 20000917 610892 434329 1521  4.82 465    NA  2.62 600    NA   .04   2.24   -.67   1.57   2.06   -.64   1.43
B17      2000 19991108 20000506 20000914 620557 459148 1207  2.16 450    NA    NA  NA  2.02   .00    .97  -2.99  -2.02    .97  -2.99  -2.02
B18      2000 19990922 20000503 20000914 643865 450551 1306  4.19 464    NA   .75 600    NA   .04   1.95  -1.50    .45   1.89  -1.46    .43
B19      2000 19990922 20000504 20000914 648171 444062 1424  4.92 457    NA  2.49 600    NA   .10   2.25   -.75   1.49   2.07   -.66   1.42
BB0      2000 19990922 20000504 20000914 640754 433963 1517  4.30 477    NA  2.28 600    NA   .10   2.05   -.68   1.37   1.80   -.58   1.22
Bor      2000 19990922 20000611 20000915 580182 435932 1382  3.67 540    NA   .95 600    NA   .06   1.98  -1.41    .57   1.81  -1.35    .45
Borth    2000 19990922 20000611 20000915 580998 436400 1380  3.13 550    NA    NA  NA   .00    NA   1.72  -1.72    .00   1.55  -1.72   -.17
Br0      2000 19991018 20000408 20001013 630844 400549  112    NA  NA    NA    NA  NA    NA   .00     NA  -7.96     NA     NA  -7.96     NA
Br1      2000 19991018 20000408 20001013 630410 401795  227    NA  NA    NA    NA  NA    NA   .00     NA  -5.05     NA     NA  -5.05     NA
Br2      2000       NA 20000408 20001019 628258 404226  347   .64 530    NA    NA  NA  5.36   .00    .34  -5.69  -5.36    .34  -5.69  -5.36
Br3      2000       NA 20000408 20001019 627872 407876  477   .67 550    NA    NA  NA  5.00   .00    .37  -5.37  -5.00    .37  -5.37  -5.00
Br5      2000       NA 20000401 20001019 630267 415281  681  1.61 470    NA    NA  NA  2.84   .05    .76  -3.60  -2.84    .76  -3.55  -2.79
Br7      2000 19990922 20000504 20000914 631160 432428 1247  3.62 463    NA   .77 600    NA   .00   1.68  -1.21    .46   1.60  -1.21    .39
Bre5     2000       NA 20000408       NA 630847 420143  817  1.77 480    NA    NA  NA    NA    NA    .85     NA     NA    .85     NA     NA
Bru      2000 19990922 20000503 20001007 646902 468276  832   .57 515    NA    NA  NA  4.88   .00    .29  -5.17  -4.88 -15.46  -5.17 -20.63
Bud      2000 19990922 20000503 20000914 643699 458765 1132  2.22 464    NA    NA  NA  1.75   .00   1.03  -2.78  -1.75    .79  -2.78  -1.99
D12      2000 19990922 20000502 20000914 596151 443867 1651  5.26 480    NA  3.53 600    NA   .05   2.52   -.41   2.12   2.31   -.35   1.96
E01      2000 19991108 20000503 20001007 664255 468986  769   .55 535    NA    NA  NA  4.80   .00    .29  -5.09  -4.80    .29  -5.09  -4.80
E02      2000       NA 20000503 20001007 662400 465554  962  1.25 566    NA    NA  NA  3.66   .00    .71  -4.37  -3.66    .71  -4.37  -3.66
E03      2000 19990922 20000503 20000914 661937 460952 1191  3.02 510    NA    NA  NA   .33   .00   1.54  -1.86   -.33   1.22  -1.86   -.64
E04      2000 19990922 20000503 20000914 662013 457737 1287  3.48 472    NA   .78 600    NA   .07   1.64  -1.18    .47   1.57  -1.10    .46
G04      2000 19990923 20000615 20000915 584088 445424 1687  4.98 500    NA  3.32 600    NA   .10   2.49   -.50   1.99   2.49   -.40   2.09
Go1      2000 19990924 20000615 20000915 575929 452637 1755  4.04 504    NA  2.45 600    NA   .08   2.04   -.57   1.47   1.90   -.49   1.41
Haab     2000       NA 20000611       NA 577220 428514 1727  4.85 508    NA    NA  NA    NA    NA   2.46     NA     NA   2.46     NA     NA
K01      2000 19990921 20000501 20000921 552893 455089  937  1.73 590    NA    NA  NA  4.08   .00   1.02  -5.10  -4.08   1.02  -5.10  -4.08
K02      2000 19990921 20000501 20000921 554575 454660 1090   .90 496    NA    NA  NA  2.86   .00    .45  -3.33  -2.86    .45  -3.33  -2.86
K03      2000 19990921 20000501 20000921 558810 452723 1302  1.57 485    NA    NA  NA  1.56   .00    .76  -2.32  -1.56    .76  -2.32  -1.56
K04      2000 19990925 20000501 20000925 562117 450951 1489  3.04 493    NA   .70 600    NA   .00   1.50  -1.08    .42   1.50  -1.08    .42
K05      2000 19990924 20000501 20001007 567609 451424 1687  4.24 476    NA  2.44 600    NA   .14   2.02   -.55   1.46   1.91   -.41   1.50
K06      2000       NA 20000610       NA 570622 460599 1967  4.44 492    NA    NA  NA    NA    NA   2.18     NA     NA   2.18     NA     NA
K07      2000 19990921 20000507 20000921 562632 443119 1542  3.90 498    NA  1.82 600    NA   .05   1.94   -.85   1.09   1.87   -.80   1.07
SKTH     2000 19990924 20000611 20000915 584383 436910 1509  5.35 550    NA  2.30 600    NA    NA   2.94  -1.56   1.38   2.77  -1.56   1.20
T01      2000 19991016 20000505 20001007 540657 425803  742  1.22 503    NA    NA  NA  5.51   .00    .61  -6.12  -5.51    .61  -6.12  -5.51
T02      2000 19991016 20000505 20001007 544544 425032  957  1.26 583    NA    NA  NA  3.30   .02    .73  -4.03  -3.30    .73  -4.02  -3.28
T03      2000 19990923 20000505 20001007 549479 426381 1102  2.22 463    NA    NA  NA  2.30   .05   1.03  -3.33  -2.30   1.03  -3.28  -2.25
T04      2000 19990923 20000505 20000915 555152 428705 1232  4.38 530    NA  1.04 600    NA   .00   2.32  -1.70    .62   2.32  -1.70    .62
T05      2000 19990923 20000505 20000915 562073 430674 1338  3.36 518    NA   .11 600    NA   .00   1.74  -1.68    .07   1.74  -1.68    .07
T06      2000 19990921 20000505 20000915 567222 434373 1440  4.11 500    NA  1.21 600    NA   .08   2.05  -1.33    .73   1.95  -1.25    .70
T07      2000 19990921 20000505 20000915 571427 436456 1562  3.99 480    NA  1.60 600    NA   .08   1.92   -.95    .96   1.86   -.87    .98
T08      2000 19990921 20000505 20000915 574057 438308 1638  4.52 484    NA  2.55 600    NA   .08   2.19   -.66   1.53   2.03   -.58   1.46
