#stake     ar       d1       d2       d3      x      y    h   dw rhow   imw   ds rhos   ims  nswe bw_str bs_str ba_str bw_fld bs_fld ba_fld
B07      1998 19970919 19980505 19980926 630494 439221 1347  3.58 463    NA  1.23 600    NA   .04   1.66   -.92    .74   1.65   -.88    .77
B08      1998       NA 19980504 19981019 639131 477636  717   .35 431    NA    NA  NA  4.75   .05    .15  -4.90  -4.75    .06  -4.85  -4.79
B09      1998 19971018 19980504 19981019 638765 476664  757   .30 400    NA    NA  NA  3.71   .05    .12  -3.83  -3.71   -.00  -3.78  -3.78
B10      1998 19971018 19980504 19981019 637499 472860  867   .78 433    NA    NA  NA  3.27   .19    .34  -3.60  -3.27    .20  -3.41  -3.21
B12      1998 19971018 19980504 19980926 632072 462530 1077  1.34 426    NA    NA  NA  1.70   .15    .57  -2.27  -1.70    .38  -2.12  -1.75
B13      1998 19970919 19980504 19980926 628001 455387 1197  2.09 429    NA    NA  NA   .73   .29    .90  -1.62   -.73    .82  -1.33   -.52
B14      1998 19970919 19980503 19980926 624112 449677 1307  2.73 445    NA    NA  NA   .19   .14   1.22  -1.41   -.19   1.18  -1.27   -.09
B16      1998 19970919 19980503 19980926 610896 434311 1517  4.14 480    NA  1.95 600    NA   .04   1.99   -.82   1.17   1.96   -.78   1.18
B17      1998       NA 19980503 19980926 620505 459121 1207  2.46 493    NA    NA  NA   .88   .17   1.21  -2.09   -.88   1.21  -1.92   -.71
B18      1998       NA 19980505 19980926 643965 450520 1307  3.45 477    NA   .68 600    NA   .22   1.65  -1.24    .41   1.65  -1.02    .63
B19      1998       NA 19980505 19980926 648176 444052 1427  5.25 493    NA  2.84 600    NA   .13   2.59   -.89   1.70   2.59   -.76   1.83
BB0      1998 19970920 19980505 19980926 640750 433966 1522  5.14 458    NA  3.07 600    NA   .08   2.35   -.51   1.84   2.33   -.43   1.89
BB14     1998       NA 19980528 19980825 576981 444023 1637    NA  NA    NA    NA  NA    NA    NA     NA  -1.30     NA     NA  -1.30     NA
BB18     1998       NA 19980528 19980825 581244 447196 1697    NA  NA    NA    NA  NA    NA    NA     NA    .09     NA     NA    .09     NA
BB19     1998       NA 19980528 19980825 581189 444773 1687    NA  NA    NA    NA  NA    NA    NA     NA   -.06     NA     NA   -.06     NA
BB20     1998       NA 19980528 19980825 581114 442448 1642    NA  NA    NA    NA  NA    NA    NA     NA   -.01     NA     NA   -.01     NA
BB21     1998       NA 19980528 19980825 581077 439833 1542    NA  NA    NA    NA  NA    NA    NA     NA   -.15     NA     NA   -.15     NA
BB23     1998       NA 19980528 19980825 580903 435430 1397    NA  NA    NA    NA  NA    NA    NA     NA   -.79     NA     NA   -.79     NA
BB24     1998       NA 19980529 19980825 578815 435375 1417    NA  NA    NA    NA  NA    NA    NA     NA   -.51     NA     NA   -.51     NA
BB25     1998       NA 19980529 19980529 582700 437930 1512    NA  NA    NA    NA  NA    NA    NA     NA   -.42     NA     NA   -.42     NA
Bor      1998 19970826 19980607 19980825 580193 435919 1377  3.25 490    NA   .75 600    NA   .00   1.59  -1.14    .45   1.59  -1.14    .45
Br0      1998 19970921 19980321 19981018 630897 400579  127    NA  NA  1.51    NA  NA  5.33   .00  -1.51  -5.33  -6.84  -1.51  -5.33  -6.84
Br1      1998 19971003 19980321 19981018 630405 401860  239    NA  NA  1.56    NA  NA  4.41   .00  -1.56  -4.41  -5.97  -1.56  -4.41  -5.97
Br2      1998 19970921 19980321 19981018 628254 404264  351    NA  NA   .64    NA  NA  4.25   .00   -.64  -4.25  -4.88   -.64  -4.25  -4.88
Br5      1998 19971001 19980321       NA 630273 415597  697    NA  NA    NA    NA  NA    NA    NA    .73     NA     NA    .73     NA     NA
Br7      1998       NA 19980505 19980926 631148 432445 1252  3.39 484    NA   .69 600    NA   .04   1.64  -1.23    .42   1.64  -1.18    .46
Bre1     1998       NA 19980529 19981102 634131 400566   62    NA  NA    NA    NA  NA    NA   .00     NA  -5.80     NA     NA  -5.80     NA
Bre2     1998       NA 19980529 19981102 634561 401407   97    NA  NA    NA    NA  NA    NA   .00     NA  -5.57     NA     NA  -5.57     NA
Bru      1998 19971019 19980504 19981019 646877 468239  842   .72 494    NA    NA  NA  3.16   .09    .36  -3.52  -3.16    .17  -3.43  -3.27
Bud      1998 19970920 19980504 19980926 643691 458706 1132  2.35 489    NA    NA  NA   .44   .14   1.15  -1.59   -.44   1.10  -1.45   -.35
D01      1998 19971019 19980502 19980927 607484 480253  777   .19 468    NA    NA  NA  5.14   .00    .09  -5.23  -5.14   -.02  -5.23  -5.24
D02      1998 19971019 19980502 19980927 607862 478462  837   .75 484    NA    NA  NA  3.71   .00    .36  -4.07  -3.71    .22  -4.07  -3.85
D03      1998 19971019 19980502 19980927 606036 476171  962  1.18 510    NA    NA  NA  3.14   .05    .60  -3.74  -3.14    .43  -3.69  -3.26
D05      1998       NA 19980502 19980927 600084 469494 1187  1.83 487    NA    NA  NA  1.68   .12    .89  -2.57  -1.68    .89  -2.45  -1.56
D07      1998 19971019 19980502 19980927 596190 461145 1387  2.96 440    NA   .07 600    NA   .14   1.30  -1.26    .04   1.06  -1.12   -.06
D09      1998 19970825 19980502 19980926 595537 449117 1587  3.27 491    NA  1.41 600    NA   .11   1.61   -.76    .84   1.61   -.65    .95
D10      1998       NA 19980502 19980927 592747 472488 1192  1.53 508    NA    NA  NA  3.90   .12    .78  -4.67  -3.90    .78  -4.56  -3.78
D12      1998       NA 19980502 19980926 596140 443876 1652  3.53 431    NA  1.99 600    NA   .12   1.52   -.33   1.19   1.52   -.21   1.31
Dy11     1998       NA 19980503 19980826 585376 453142 1602  2.96 456    NA  1.40 600    NA   .00   1.35   -.51    .84   1.35   -.51    .84
E01      1998 19971019 19980504       NA 664316 469006  775   .68 471    NA    NA  NA    NA   .09    .32     NA     NA    .12     NA     NA
E02      1998 19971019 19980504 19981019 662403 465502  962  1.17 549    NA    NA  NA  2.50   .17    .64  -3.14  -2.50    .54  -2.97  -2.43
E03      1998 19970920 19980504 19980926 661971 460916 1192  3.62 508    NA    NA  NA   .92   .12   1.84  -2.76   -.92   1.77  -2.64   -.87
E04      1998 19970920 19980504 19980926 662034 457677 1287  4.12 482    NA  1.47 600    NA   .15   1.99  -1.10    .88   1.88   -.95    .93
Go1-98   1998       NA 19980615 19980824 576632 451893 1737    NA  NA    NA    NA  NA    NA   .00     NA   -.01     NA     NA   -.01     NA
Go2      1998       NA 19980615 19980824 579041 450991 1707    NA  NA    NA    NA  NA    NA   .00     NA   -.17     NA     NA   -.17     NA
Go3      1998       NA 19980615 19980826 575633 446115 1687    NA  NA    NA    NA  NA    NA   .00     NA   -.30     NA     NA   -.30     NA
Go4      1998       NA 19980615 19980826 575725 443903 1687    NA  NA    NA    NA  NA    NA   .00     NA   -.40     NA     NA   -.40     NA
K01      1998 19970906 19980501 19980916 552790 455283  932  2.03 555    NA    NA  NA  3.45   .00   1.13  -4.57  -3.45   1.13  -4.57  -3.45
K02      1998 19970906 19980430 19980916 554520 454464 1092   .49 435    NA    NA  NA  3.00   .07    .21  -3.21  -3.00    .21  -3.14  -2.93
K03      1998 19970906 19980501 19980916 558824 452679 1307  1.37 428    NA    NA  NA  1.57   .07    .59  -2.16  -1.57    .59  -2.09  -1.50
K04      1998 19970825 19980501 19980916 562120 451012 1487  2.44 389    NA    NA  NA   .31   .09    .95  -1.26   -.31    .95  -1.17   -.22
