#stake     ar       d1       d2       d3      x      y    h   dw rhow   imw   ds rhos   ims  nswe bw_str bs_str ba_str bw_fld bs_fld ba_fld
B01      1993       NA 19930429 19930925 647337 471123  750  1.40 507    NA    NA  NA  2.72    NA    .71  -3.43  -2.72    .71  -3.43  -2.72
B02      1993       NA 19930429 19930925 645324 463885  987  2.46 451    NA   .07 600    NA    NA   1.11  -1.07    .04   1.11  -1.07    .04
B03      1993       NA 19930429 19930923 646463 455773 1210  5.08 451    NA  3.97 600    NA    NA   2.29    .09   2.38   2.29    .09   2.38
B04      1993       NA 19930429 19930924 651336 450228 1346  6.39 449    NA  6.13 600    NA   .07   2.87    .81   3.68   2.87    .88   3.75
B05      1993       NA 19930430 19930925 636128 454349 1198  3.87 450    NA  2.88 600    NA    NA   1.74   -.01   1.73   1.74   -.01   1.73
B06      1993       NA 19930430 19930924 640461 445646 1334  4.75 451    NA  4.32 600    NA    NA   2.14    .45   2.59   2.14    .45   2.59
B07      1993       NA 19930430 19930924 630507 439109 1348  5.05 459    NA  4.75 600    NA    NA   2.32    .53   2.85   2.32    .53   2.85
B08      1993       NA 19930429 19930925 640608 478054  720  1.18 551    NA    NA  NA  3.47    NA    .65  -4.12  -3.47    .65  -4.12  -3.47
B09      1993       NA 19930429 19930925 638732 476716  780  1.30 500    NA    NA  NA  2.79    NA    .65  -3.44  -2.79    .65  -3.44  -2.79
B10      1993       NA 19930429 19930925 637484 472803  866  1.70 459    NA    NA  NA  1.61    NA    .78  -2.39  -1.61    .78  -2.39  -1.61
B11      1993       NA 19930428 19930925 635548 467727  987  2.00 450    NA    NA  NA   .67   .04    .90  -1.57   -.67    .90  -1.53   -.63
B12      1993       NA 19930428 19930925 632053 462518 1087  2.40 450    NA   .18 600    NA    NA   1.08   -.97    .11   1.08   -.97    .11
B13      1993       NA 19930430 19930924 628090 455157 1204  2.96 453    NA  1.08 600    NA    NA   1.34   -.69    .65   1.34   -.69    .65
B14      1993       NA 19930430 19930924 623963 449518 1310  3.71 450    NA  2.75 600    NA    NA   1.67   -.02   1.65   1.67   -.02   1.65
B15      1993       NA 19930430 19930924 619397 443361 1406  3.27 489    NA  2.99 600    NA    NA   1.60    .20   1.79   1.60    .20   1.79
B16      1993       NA 19930430 19930924 610966 434287 1526  4.04 495    NA  4.23 600    NA   .04   2.00    .54   2.54   2.00    .58   2.58
B17      1993       NA 19930501 19930924 620478 459111 1205  2.25 440    NA   .42 600    NA    NA    .99   -.74    .25    .99   -.74    .25
B18      1993       NA 19930501 19930924 615064 453870 1363  3.39 451    NA  2.78 600    NA    NA   1.53    .14   1.67   1.53    .14   1.67
Bor      1993 19921005 19930619 19930908 580244 436027 1437  5.20 537    NA  3.77 600    NA    NA   2.79   -.53   2.26   2.79   -.53   2.26
Bu1-93   1993       NA 19930427       NA 589086 426957 1281  4.71 456    NA    NA  NA    NA    NA   2.15     NA     NA   2.15     NA     NA
D01      1993       NA 19930507 19930928 607778 480476  797   .54 407    NA    NA  NA  3.54    NA    .22  -3.76  -3.54    .22  -3.76  -3.54
D02      1993       NA 19930507 19930928 607757 478367  862  1.64 518    NA    NA  NA  2.73    NA    .85  -3.58  -2.73    .85  -3.58  -2.73
D03      1993       NA 19930507 19930928 606024 476108  972  1.54 500    NA    NA  NA  1.82    NA    .77  -2.59  -1.82    .77  -2.59  -1.82
D04      1993       NA 19930507 19930928 603321 473133 1086  2.91 485    NA    NA  NA   .17    NA   1.41  -1.58   -.17   1.41  -1.58   -.17
D05      1993       NA 19930506 19930928 600107 469390 1193  3.26 482    NA   .92 600    NA    NA   1.57  -1.02    .55   1.57  -1.02    .55
D06      1993       NA 19930506 19930928 597670 465310 1298  3.30 461    NA  1.98 600    NA    NA   1.52   -.33   1.19   1.52   -.33   1.19
D07      1993       NA 19930506 19930928 596177 460925 1394  3.75 461    NA  3.70 600    NA    NA   1.73    .49   2.22   1.73    .49   2.22
D08      1993       NA 19930506       NA 594604 454407 1488    NA  NA    NA    NA  NA    NA   .05    .88     NA     NA    .88     NA     NA
