#stake     ar       d1       d2       d3      x      y    h   dw rhow   imw   ds rhos   ims  nswe bw_str bs_str ba_str bw_fld bs_fld ba_fld
B07      2020 20191018 20200604 20201009 630464 439245 1356  4.51 471    NA  1.49 600   .00   .23   2.13  -1.24    .89   1.93  -1.01    .92
B09      2020 20191019 20200430 20201009 638158 474994  717   .15 450    NA    NA  NA  5.83   .04    .07  -5.90  -5.83    .06  -5.87  -5.80
B10      2020 20191019 20200430 20201009 637586 472834  771   .15 600    NA    NA  NA  4.53   .04    .10  -4.63  -4.53    .10  -4.59  -4.49
B11      2020 20191019 20200430 20201009 634822 467592  948  1.69 606    NA    NA  NA  2.76   .07   1.02  -3.78  -2.76    .99  -3.71  -2.72
B12      2020 20191019 20200430 20201009 632122 462509 1076  2.62 502    NA    NA  NA  1.42   .10   1.31  -2.73  -1.42   1.21  -2.63  -1.42
B13      2020 20191019 20200501 20201009 628031 455472 1218  3.47 458    NA    NA  NA   .01   .16   1.59  -1.60   -.01   1.44  -1.44   -.01
B14      2020 20191019 20200430 20201009 624217 449851 1318  3.75 468    NA  1.15 600   .00   .17   1.76  -1.07    .69   1.50   -.90    .60
B15      2020 20191019 20200430 20201009 620191 443835 1401  4.59 477    NA  2.08 600   .00   .19   2.19   -.94   1.25   1.88   -.75   1.12
B16      2020 20191019 20200501 20201009 611789 435398 1527  5.03 485    NA  2.42 600   .00   .35   2.44   -.99   1.45   2.09   -.64   1.45
B17      2020 20191019 20200430 20201009 620568 459170 1216  3.31 456    NA    NA  NA   .46   .09   1.51  -1.97   -.46   1.30  -1.88   -.57
B18      2020 20191018 20200429 20201008 643868 450571 1314  4.47 486    NA  1.23 600   .00   .30   2.17  -1.43    .74   1.93  -1.13    .80
B19      2020 20191018 20200429 20201008 647494 444112 1437  6.11 446    NA  3.88 600   .00   .40   2.73   -.40   2.33   2.10    .00   2.10
Barc     2020       NA 20200503 20201010 574278 460807 1896  5.07 470    NA  4.17 600   .00   .24   2.38    .12   2.50   2.38    .37   2.75
BB0      2020 20191018 20200429 20201008 640687 433959 1517  5.15 460    NA  2.81 600   .00   .35   2.48   -.79   1.69   1.99   -.44   1.55
Bor      2020 20191022 20200503 20201012 580209 435909 1439  4.15 493    NA   .86 600   .00   .35   2.05  -1.53    .52   1.83  -1.18    .65
Borth    2020 20191022 20200502 20201012 580977 436093 1444  4.98 470    NA  1.38 600   .00   .40   2.34  -1.51    .83   2.12  -1.12   1.00
Br1      2020 20191127 20200501 20201010 630133 402345  112    NA  NA   .47    NA  NA  9.01   .00   -.47  -9.01  -9.48   -.47  -9.01  -9.48
Br2      2020 20191127 20200501 20201010 627899 402999  189   .00   0    NA    NA  NA  7.98   .00    .25  -8.23  -7.98    .25  -8.23  -7.98
Br3      2020 20191128 20200501 20201010 626537 406808  367  1.65 500    NA    NA  NA  4.91   .00    .82  -5.73  -4.91    .82  -5.73  -4.91
Br5      2020       NA 20200505       NA 630037 416418  672  1.54 518    NA    NA 600    NA    NA    .80     NA     NA    .80     NA     NA
Br7      2020 20191018 20200505 20201009 631195 432470 1244  4.82 523    NA   .76 600   .00   .24   2.52  -2.06    .46   2.29  -1.82    .47
Bru      2020 20191019 20200430 20201008 645992 465904  895  1.76 550    NA    NA  NA  3.23   .02    .96  -4.19  -3.23    .92  -4.17  -3.25
Bud      2020 20191018 20200430 20201008 643668 458811 1141  3.52 474    NA    NA  NA   .77   .12   1.67  -2.44   -.77   1.45  -2.32   -.87
D05      2020 20191020 20200502 20201010 599594 468618 1202  2.79 447    NA    NA  NA   .88   .05   1.25  -2.13   -.88   1.16  -2.08   -.92
D07      2020 20191020 20200502 20201010 596201 461182 1375  3.40 470    NA   .77 600   .00   .21   1.60  -1.14    .46   1.46   -.93    .53
D09      2020 20191020 20200502 20201010 595510 449081 1585  3.93 473    NA  2.17 600   .00   .26   1.86   -.55   1.30   1.71   -.30   1.41
D12      2020 20191020 20200502 20201010 596008 443867 1648  4.67 472    NA  3.31 600   .00   .33   2.20   -.22   1.99   1.94    .12   2.06
