#stake     ar       d1       d2       d3      x      y    h   dw rhow   imw   ds rhos   ims  nswe bw_str bs_str ba_str bw_fld bs_fld ba_fld
B07      2007 20060923 20070505 20071007 630491 439237 1356  4.59 498    NA  2.00 600   .00   .12   2.29  -1.09   1.20   2.28   -.97   1.31
B08      2007 20060923 20070510 20071007 638152 476042  750   .05 573    NA    NA  NA  5.27   .00    .03  -5.29  -5.27    .01  -5.29  -5.28
B09      2007 20060923 20070510 20071007 638594 476175  743   .05 573    NA    NA  NA  5.57   .00    .03  -5.60  -5.57    .01  -5.60  -5.59
B10      2007 20060923 20070510 20071007 637583 472826  831   .15 593    NA    NA  NA  4.09   .00    .09  -4.17  -4.09    .07  -4.17  -4.10
B12      2007 20060923 20070510 20071007 632119 462534 1075  1.55 567    NA    NA  NA  1.60   .09    .88  -2.48  -1.60    .81  -2.39  -1.59
B13      2007 20060923 20070510 20071007 627931 455373 1210  2.28 554    NA    NA  NA   .63   .14   1.26  -1.89   -.63   1.19  -1.75   -.56
B14      2007 20060923 20070510 20071007 624236 449863 1309  3.44 488    NA   .14 600   .00   .15   1.68  -1.59    .08   1.62  -1.44    .17
B15      2007       NA 20070510 20071007 620211 443857 1393  3.90 481    NA   .91 600   .00   .19   1.88  -1.33    .55   1.88  -1.14    .74
B16      2007 20060923 20070505 20071008 610888 434378 1523  4.81 483    NA  2.39 600   .00   .16   2.33   -.89   1.43   2.29   -.73   1.56
B17      2007 20060923 20070510 20071007 620552 459186 1210  2.05 522    NA    NA  NA  1.03   .14   1.07  -2.10  -1.03   1.07  -1.96   -.89
B18      2007 20060923 20070505 20071007 643863 450588 1308  4.22 506    NA  2.13 600   .00   .17   2.14   -.86   1.28   2.12   -.69   1.43
B19      2007 20060923 20070504 20071007 648154 444031 1429  4.98 497    NA  3.43 600   .00   .17   2.48   -.42   2.06   2.45   -.25   2.21
BB0      2007 20060923 20070504 20071008 640689 433960 1518  4.23 509    NA  2.10 600   .00   .19   2.16   -.90   1.26   2.14   -.71   1.43
Bor      2007 20060925 20070604 20071010 580193 435912 1405  4.99 515    NA  2.16 600   .00   .10   2.57  -1.27   1.30   2.55  -1.17   1.38
Borth    2007       NA 20070608 20071010 581006 436316 1407  5.02 515    NA  1.93 600   .00   .15   2.58  -1.42   1.16   2.58  -1.27   1.31
Br0a     2007 20060930 20070228 20070930 630269 400868   99    NA  NA  1.48    NA  NA  9.56    NA  -1.48  -9.56 -11.04  -1.48  -9.56 -11.04
Br1      2007 20060930 20070228 20070930 630439 401586  165    NA  NA  1.27    NA  NA  7.46    NA  -1.27  -7.46  -8.73  -1.27  -7.46  -8.73
Br2      2007 20060930 20070228 20070930 627876 403165  275    NA  NA   .40    NA  NA  6.15    NA   -.40  -6.15  -6.55   -.40  -6.15  -6.55
Br3      2007 20060930 20070228 20070930 626756 407289  432    NA  NA   .20    NA  NA  5.96    NA   -.20  -5.96  -6.16   -.20  -5.96  -6.16
Br7      2007 20060923 20070505 20071007 631177 432478 1249  4.74 589    NA  1.40 600   .00   .13   2.79  -1.95    .84   2.77  -1.82    .94
Bru      2007 20060923 20070505 20071007 646934 468263  804   .20 500    NA    NA  NA  4.55   .00    .10  -4.65  -4.55    .07  -4.65  -4.59
Bud      2007 20060923 20070505 20071007 643649 458785 1133  2.21 549    NA    NA  NA   .38   .10   1.21  -1.60   -.38   1.18  -1.49   -.31
D05      2007 20060926 20070509 20071010 600085 469524 1172  1.78 611    NA    NA  NA  1.57   .04   1.09  -2.67  -1.57   1.09  -2.63  -1.54
D07      2007 20060926 20070509 20071010 596192 461199 1361  3.28 498    NA   .78 600   .00   .17   1.63  -1.16    .47   1.63   -.99    .64
D09      2007 20060926 20070509 20071010 595531 449135 1574  4.49 482    NA  3.28 600   .00   .17   2.17   -.20   1.97   2.15   -.02   2.13
D12      2007 20060923 20070509 20071010 596041 443902 1646  5.12 484    NA  3.85 600   .00   .17   2.48   -.17   2.31   2.41    .00   2.42
E01      2007 20060927 20070504 20071008 664214 470126  708   .15   0    NA    NA  NA  4.65   .04    .10  -4.75  -4.65    .10  -4.71  -4.62
E02      2007       NA 20070504 20071008 662403 465610  954  1.23 550    NA    NA  NA  2.65   .04    .68  -3.32  -2.65    .68  -3.29  -2.61
E03      2007 20060927 20070504 20071008 661914 460948 1187  4.17 549    NA  1.67 600   .00   .04   2.69  -1.69   1.00   2.64  -1.65    .98
E04      2007 20060927 20070504 20071008 662009 457756 1287  4.20 533    NA  2.36 600   .00   .04   2.23   -.81   1.42   2.18   -.78   1.40
G02      2007 20060925 20070604 20071010 582083 439532 1558  3.67 498    NA  1.31 600   .00   .16   1.83  -1.04    .79   1.81   -.88    .93
G03      2007 20060925 20070604 20071010 583083 442503 1652  4.79 489    NA  2.96 600   .00   .14   2.52   -.74   1.78   2.50   -.60   1.90
G04      2007 20060925 20070604 20071009 584080 445437 1684  4.91 486    NA  3.40 600   .00   .19   2.39   -.35   2.04   2.37   -.15   2.21
Gb2      2007 20060923 20070505 20071007 643748 455141 1200  3.10 520    NA   .54 600   .00   .13   1.61  -1.29    .32   1.58  -1.16    .42
Gh01a    2007       NA 20070604 20071010 583605 444013 1671  4.91 486    NA  3.09 600   .00   .14   2.39   -.53   1.85   2.39   -.39   2.00
Gh02a    2007       NA 20070604 20071010 582995 442061 1646  4.62 493    NA  1.82 600   .00   .16   2.28  -1.19   1.09   2.28  -1.03   1.25
Gh03a    2007       NA 20070604 20071010 582448 440540 1616  4.29 498    NA  2.13 600   .00   .16   2.14   -.86   1.28   2.14   -.70   1.44
Gh04a    2007       NA 20070604 20071010 581854 438948 1540  4.11 498    NA  1.70 600   .00   .11   2.05  -1.03   1.02   2.05   -.91   1.13
Gh05a    2007       NA 20070604 20071010 581560 437906 1498  4.68 506    NA  2.11 600   .00   .11   2.37  -1.10   1.27   2.37   -.99   1.38
Gh06a    2007       NA 20070604 20071010 581238 437074 1417  5.60 515    NA  3.36 600   .00   .11   2.88   -.87   2.02   2.88   -.75   2.13
Gh07a    2007       NA 20070605 20071010 579429 439532 1502  4.55 510    NA  1.92 600   .00   .14   2.32  -1.17   1.15   2.32  -1.03   1.29
Gh08a    2007       NA 20070606 20071010 580658 438642 1513  4.74 500    NA  1.95 600   .00   .14   2.37  -1.20   1.17   2.37  -1.06   1.31
Gh09a    2007       NA 20070605 20071010 582682 437582 1501  4.61 510    NA  2.16 600   .00   .11   2.35  -1.06   1.29   2.35   -.94   1.41
Gh10a    2007       NA 20070605 20071010 583517 436852 1504  4.95 500    NA  2.56 600   .00   .11   2.47   -.94   1.54   2.47   -.83   1.65
Gh11a    2007       NA 20070605 20071010 582576 436265 1432  4.99 510    NA  2.29 600   .00   .21   2.54  -1.17   1.37   2.54   -.96   1.58
Gh12a    2007       NA 20070605 20071010 581787 435332 1408  4.90 515    NA  2.28 600   .00   .10   2.52  -1.16   1.37   2.52  -1.06   1.46
Gh13a    2007       NA 20070605 20071010 581018 435589 1403  4.95 515    NA  2.24 600   .00   .10   2.55  -1.21   1.34   2.55  -1.11   1.44
Gh14a    2007       NA 20070605 20071010 581046 434745 1391  4.90 515    NA  2.68 600   .00   .10   2.52   -.92   1.61   2.52   -.82   1.71
Gh15a    2007       NA 20070605 20071010 577062 438268 1539  4.74 490    NA  2.41 600   .00   .14   2.32   -.88   1.44   2.32   -.74   1.58
Gh16a    2007       NA 20070605 20071010 578674 437848 1469  4.91 510    NA  2.49 600   .00   .14   2.50  -1.01   1.49   2.50   -.87   1.63
Gh17a    2007       NA 20070605 20071010 579334 436932 1416  4.92 515    NA  2.49 600   .00   .10   2.53  -1.04   1.50   2.53   -.94   1.59
Gh18a    2007       NA 20070605 20071010 579431 435990 1417  4.93 515    NA  2.47 600   .00   .10   2.54  -1.06   1.48   2.54   -.96   1.58
Gh19a    2007       NA 20070605 20071010 579551 434894 1415  4.93 515    NA  1.80 600   .00   .10   2.54  -1.46   1.08   2.54  -1.36   1.18
Gh20a    2007       NA 20070605 20071010 575484 436637 1641  4.48 490    NA  2.68 600   .00   .14   2.20   -.59   1.61   2.20   -.45   1.75
Gjal04   2007 20060925 20070607 20071010 579178 449073 1686  4.40 490    NA  3.04 600   .00   .17   2.16   -.33   1.82   2.14   -.16   1.98
Gjal06   2007 20060926 20070607 20071010 577899 448981 1684  4.20 490    NA  2.78 600   .00   .17   2.06   -.39   1.67   2.02   -.22   1.81
Gjal09   2007 20060926 20070607 20071010 575168 448872 1714  3.85 490    NA  2.59 600   .00   .17   1.89   -.33   1.55   1.85   -.16   1.69
Gjal14   2007 20060926 20070607 20071010 576025 447089 1698  4.02 490    NA  2.83 600   .00   .17   1.97   -.27   1.70   1.94   -.10   1.84
Gjal15   2007 20060926 20070607 20071010 576092 445135 1689  4.06 490    NA  2.68 600   .00   .17   1.99   -.38   1.61   1.95   -.21   1.75
