#stake     ar       d1       d2       d3      x      y    h   dw rhow   imw   ds rhos   ims  nswe bw_str bs_str ba_str bw_fld bs_fld ba_fld
B07      2001 20000914 20010425 20010918 630478 439236 1350  4.26 482    NA  2.25 600    NA   .00   2.05   -.70   1.35   1.89   -.70   1.19
B08      2001 20001007 20010502 20010917 639354 476527  748  1.42 444    NA    NA  NA  3.92   .00    .63  -4.55  -3.92    .63  -4.55  -3.92
B09      2001 20001007 20010502 20010917 638764 476652  746  1.26 444    NA    NA  NA  3.10   .00    .56  -3.66  -3.10    .56  -3.66  -3.10
B10      2001 20001007 20010502 20010917 637587 472824  859  1.92 490    NA    NA  NA  2.43   .00    .94  -3.37  -2.43    .94  -3.37  -2.43
B12      2001 20001007 20010502 20010917 632107 462538 1079  2.95 458    NA    NA  NA  1.03   .00   1.35  -2.38  -1.03   1.35  -2.38  -1.03
B13      2001 20000914 20010503 20010917 627960 455308 1208  3.49 460    NA   .26 600    NA   .00   1.61  -1.45    .16   1.61  -1.45    .16
B14      2001 20000914 20010503 20010917 624167 449746 1307  3.41 430    NA   .60 600    NA   .00   1.47  -1.11    .36   1.47  -1.11    .36
B16      2001 20000917 20010425 20010917 610880 434338 1522  4.08 448    NA  2.47 600    NA   .10   1.83   -.35   1.48   1.79   -.24   1.55
B17      2001 20000914 20010501 20010917 620576 459149 1209  3.45 443    NA   .24 600    NA   .00   1.53  -1.38    .14   1.53  -1.38    .14
B18      2001 20000914 20010430 20010917 643878 450543 1308  4.87 477    NA  2.04 600    NA   .08   2.32  -1.10   1.22   2.29  -1.02   1.27
B19      2001 20000914 20010430 20010918 648182 444009 1426  6.62 472    NA  4.68 600    NA   .08   3.13   -.32   2.81   3.03   -.24   2.79
BB0      2001 20000914 20010425 20010918 640732 433975 1518  6.00 461    NA  4.19 600    NA   .10   2.77   -.25   2.51   2.66   -.15   2.51
Bor      2001 20000915 20010603 20010917 580179 435833 1395  3.83 556    NA   .63 600    NA   .02   2.13  -1.75    .38   2.07  -1.73    .34
Br0      2001 20001013 20010523 20011027 630846 400525  107    NA  NA  3.00    NA  NA  8.47   .00  -3.00  -8.47 -11.47  -3.00  -8.47 -11.47
Br1      2001 20001013 20010523 20011027 630417 401749  218    NA  NA  2.46    NA  NA  6.95   .00  -2.46  -6.95  -9.40  -2.46  -6.95  -9.40
Br2      2001 20001019 20010523 20011027 628276 404160  345    NA  NA  1.37    NA  NA  5.23   .00  -1.37  -5.23  -6.60  -1.37  -5.23  -6.60
Br3      2001 20001019 20010524 20011027 627886 407830  469    NA  NA   .10    NA  NA  5.80   .00   -.10  -5.80  -5.90   -.10  -5.80  -5.90
Br5      2001 20001019 20010524 20011027 630278 415272  687  1.35 498    NA    NA  NA  2.50   .00    .67  -3.17  -2.50    .62  -3.17  -2.55
Br7      2001 20000914 20010425 20010918 631161 432410 1247  4.12 517    NA  1.42 600    NA   .00   2.13  -1.28    .85   2.13  -1.28    .85
Bru      2001 20001007 20010501 20010917 646909 468257  831  2.36 470    NA    NA  NA  2.42   .00   1.11  -3.53  -2.42   1.11  -3.53  -2.42
Bud      2001 20000914 20010501 20010917 643676 458801 1136  3.96 475    NA   .69 600    NA   .04   1.88  -1.47    .41   1.88  -1.43    .45
D12      2001 20000914 20010425 20010917 596123 443877 1647  3.78 483    NA  2.79 600    NA   .08   1.83   -.15   1.67   1.77   -.07   1.71
E01      2001 20001007 20010427 20010918 664263 468947  764  2.68 504    NA    NA  NA  1.91   .00   1.35  -3.26  -1.91   1.35  -3.26  -1.91
E02      2001 20001007 20010427 20010918 662385 465541  962  3.63 502    NA    NA  NA   .71   .00   1.82  -2.54   -.71   1.82  -2.54   -.71
E03      2001 20000914 20010427 20010918 661950 460929 1193  5.49 479    NA  2.52 600    NA   .00   2.63  -1.12   1.51   2.63  -1.12   1.51
E04      2001 20000914 20010427 20010918 662009 457739 1289  5.13 515    NA  2.84 600    NA   .04   2.64   -.94   1.70   2.57   -.89   1.68
G04      2001 20000915 20010604 20010915 584089 445422 1684  2.64 489    NA  1.98 600    NA   .02   1.29   -.10   1.19   1.19   -.08   1.11
