#stake     ar       d1       d2       d3      x      y    h   dw rhow   imw   ds rhos   ims  nswe bw_str bs_str ba_str bw_fld bs_fld ba_fld
B07      1996       NA 19960427 19960906 630471 439233 1347  5.02 455    NA  2.57 600    NA    NA   2.29   -.74   1.54   2.29   -.74   1.54
B08      1996       NA 19960505 19961001 639109 477671  722   .87 511    NA    NA  NA  4.71   .00    .45  -5.16  -4.71    .45  -5.16  -4.71
B09      1996 19950927 19960505 19961001 638751 476669  772  1.47 541    NA    NA  NA  4.00   .00    .80  -4.79  -4.00    .80  -4.79  -4.00
B10      1996 19950927 19960505 19961001 637525 472911  872  1.85 459    NA    NA  NA  3.25   .00    .85  -4.11  -3.25    .85  -4.11  -3.25
B12      1996 19950927 19960505 19961001 632049 462530 1087  3.00 470    NA    NA  NA  1.01   .00   1.41  -2.42  -1.01   1.38  -2.42  -1.04
B14      1996 19950928 19960505 19960906 624082 449659 1307  3.85 448    NA  1.43 600    NA    NA   1.73   -.86    .86   1.70   -.86    .84
B16      1996 19950928 19960427 19960830 610908 434330 1517  4.43 424    NA  2.64 600    NA    NA   1.88   -.29   1.58   1.83   -.29   1.54
B17      1996       NA 19960505 19960906 620468 459163 1207  3.06 440    NA   .19 600    NA    NA   1.34  -1.23    .12   1.34  -1.23    .12
BB0      1996       NA 19960501 19960904 640747 433944 1522  6.98 477    NA  4.63 600    NA    NA   3.33   -.58   2.78   3.33   -.58   2.78
Bor      1996 19950928 19960609 19960830 580176 435876 1412  4.82 489    NA  2.52 600    NA    NA   2.35   -.84   1.51   2.30   -.84   1.46
Br0      1996       NA 19960517 19960901 630889 400643  162    NA  NA    NA    NA  NA    NA    NA     NA  -5.76     NA     NA  -5.76     NA
Br1      1996       NA 19960529 19960901 630378 401961  267    NA  NA    NA    NA  NA    NA    NA     NA  -4.43     NA     NA  -4.43     NA
Br2      1996       NA 19960517       NA 628192 404435  377    NA  NA    NA    NA  NA    NA    NA     NA  -3.87     NA     NA  -3.87     NA
Br3      1996       NA 19960420       NA 628274 407526  497   .00  NA    NA    NA  NA    NA    NA    .00     NA     NA    .00     NA     NA
Bre1     1996       NA 19960420 19960901 630334 400099   97    NA  NA    NA    NA  NA    NA    NA     NA  -7.73     NA     NA  -7.73     NA
Bre4     1996       NA 19960420 19960906 625194 412383  697  1.00 490    NA    NA  NA  5.05    NA    .49  -5.54  -5.05    .49  -5.54  -5.05
Bre5     1996       NA 19960420       NA 630189 420736  877  2.55 520    NA    NA  NA    NA    NA   1.32     NA     NA   1.32     NA     NA
Bre6     1996       NA 19960420 19960906 629395 424980 1097  4.96 496    NA   .17 600    NA    NA   2.46  -2.36    .10   2.46  -2.36    .10
Bru      1996       NA 19960510 19960905 648709 468309  827  1.92 391    NA    NA  NA  3.27    NA    .75  -4.01  -3.27    .75  -4.01  -3.27
Bud      1996       NA 19960502 19960905 643677 458727 1137  4.55 349    NA   .04 600    NA    NA   1.59  -1.56    .02   1.59  -1.56    .02
D01      1996 19950927 19960508 19961001 607470 480259  797   .59 636    NA    NA  NA  5.45   .00    .38  -5.83  -5.45    .38  -5.83  -5.45
