#stake     ar       d1       d2       d3      x      y    h   dw rhow   imw   ds rhos   ims  nswe bw_str bs_str ba_str bw_fld bs_fld ba_fld
B07      2008 20071007 20080505 20080927 630492 439243 1356  4.75 490    NA  1.96 600   .00   .00   2.33  -1.16   1.17   2.21  -1.16   1.05
B08      2008 20071007 20080503 20081002 638152 476045  745  1.50 513    NA    NA  NA  4.40   .24    .77  -5.17  -4.40    .77  -4.93  -4.16
B09      2008 20071007 20080503 20081002 638596 476176  737  1.20 506    NA    NA  NA  4.37   .24    .61  -4.97  -4.37    .61  -4.73  -4.12
B10      2008 20071007 20080503 20081002 637585 472827  828  1.36 417    NA    NA  NA  4.39   .26    .57  -4.96  -4.39    .57  -4.70  -4.13
B12      2008 20071007 20080503 20081002 632120 462534 1076  2.44 430    NA    NA  NA  1.35   .70   1.05  -2.40  -1.35    .96  -1.70   -.74
B13      2008 20071007 20080503 20081002 627933 455375 1211  3.17 437    NA    NA  NA   .50   .09   1.39  -1.89   -.50   1.25  -1.80   -.56
B14      2008 20071007 20080503 20081002 624234 449864 1309  3.83 495    NA   .60 600   .00   .07   1.90  -1.53    .36   1.74  -1.46    .28
B15      2008 20071007 20080503 20081002 620209 443858 1394  3.92 473    NA  1.66 600   .00   .10   1.85   -.86   1.00   1.67   -.75    .91
B16      2008 20071008 20080503 20081001 610878 434398 1523  4.72 473    NA  2.78 600   .00   .23   2.23   -.56   1.67   2.07   -.34   1.74
B17      2008 20071007 20080503 20081002 620558 459174 1211  2.89 423    NA    NA  NA   .99   .07   1.22  -2.21   -.99   1.08  -2.14  -1.06
B18      2008 20071007 20080505 20080927 643860 450597 1309  4.69 516    NA   .90 600   .00   .00   2.42  -1.88    .54   2.25  -1.88    .37
B19      2008 20071007 20080505 20080927 648153 444031 1429  5.35 496    NA  2.97 600   .00   .01   2.65   -.88   1.78   2.48   -.86   1.62
BB0      2008 20071008 20080505 20080927 640689 433970 1517  4.99 477    NA  2.81 600   .00   .14   2.38   -.70   1.69   2.19   -.56   1.64
Bor      2008 20071010 20080602 20080928 580198 435925 1397  5.59 604    NA  2.98 600   .00   .14   3.38  -1.59   1.79   3.28  -1.45   1.83
Br1      2008 20070930 20080401 20081001 630437 401574  155    NA  NA  1.10    NA  NA  6.87    NA  -1.10  -6.87  -7.97  -1.10  -6.87  -7.97
Br2      2008 20070930 20080501 20081001 627876 403146  270    NA  NA   .81    NA  NA  6.28    NA   -.81  -6.28  -7.09   -.81  -6.28  -7.09
Br3      2008 20070930 20080501 20081001 626772 407297  429    NA  NA   .30    NA  NA  5.60    NA   -.30  -5.60  -5.90   -.30  -5.60  -5.90
Br7      2008 20071007 20080505 20081002 631173 432478 1249  4.67 489    NA  1.24 600   .00   .02   2.28  -1.54    .74   2.15  -1.52    .63
Bru      2008 20071007 20080504 20081002 646937 468265  800  1.56 520    NA    NA  NA  2.82   .50    .81  -3.63  -2.82    .81  -3.13  -2.32
Bud      2008 20071007 20080504 20081002 643655 458791 1134  3.04 432    NA    NA  NA  1.08   .13   1.31  -2.40  -1.08   1.21  -2.27  -1.06
D05      2008 20071010 20080505 20080930 600082 469526 1170  2.67 479    NA    NA  NA  1.83   .05   1.28  -3.11  -1.83   1.24  -3.05  -1.81
D07      2008 20071010 20080505 20080930 596197 461199 1361  3.74 468    NA   .21 600   .00   .17   1.75  -1.63    .12   1.58  -1.46    .12
D09      2008 20071010 20080505 20080930 595525 449120 1574  4.74 485    NA  2.61 600   .00   .22   2.30   -.73   1.56   2.12   -.51   1.61
D12      2008 20071010 20080505 20080930 596038 443897 1647  5.23 488    NA  3.56 600   .00   .26   2.55   -.42   2.13   2.38   -.16   2.22
E01      2008 20071008 20080504 20080927 664210 470127  704   .75 407    NA    NA  NA  5.17   .00    .30  -5.48  -5.17    .27  -5.48  -5.21
E02      2008 20071008 20080504 20080927 662406 465600  952  2.34 519    NA    NA  NA  3.03   .00   1.22  -4.25  -3.03   1.18  -4.25  -3.07
E03      2008 20071008 20080504 20080927 661912 460949 1188  4.82 485    NA   .33 600   .00   .00   2.34  -2.14    .20   2.30  -2.14    .17
E04      2008 20071008 20080504 20080927 661934 457792 1288  5.03 489    NA  1.30 600   .00   .00   2.46  -1.68    .78   2.42  -1.68    .75
G02      2008 20071010 20080602 20080929 582082 439533 1558  4.40 597    NA  2.73 600   .00   .17   2.63   -.99   1.64   2.47   -.81   1.65
G03      2008 20071010 20080602 20080929 582981 442069 1647  4.88 608    NA  3.64 600   .00   .23   2.96   -.78   2.18   2.82   -.56   2.27
G04      2008 20071009 20080601 20080930 584073 445404 1685  4.62 569    NA  3.77 600   .00   .23   2.63   -.37   2.26   2.44   -.14   2.30
Gb2      2008 20071007 20080505 20080927 643743 455169 1201  3.58 510    NA    NA  NA   .35   .00   1.83  -2.18   -.35   1.70  -2.18   -.47
Gh01b    2008 20071010 20080604 20080929 583606 444027 1672    NA  NA    NA    NA  NA    NA   .24     NA   -.52     NA     NA   -.27     NA
Gh02b    2008 20071010 20080604 20080929 582996 442063 1648    NA  NA    NA    NA  NA    NA   .21     NA   -.63     NA     NA   -.42     NA
Gh03b    2008 20071010 20080604 20080929 582451 440544 1617    NA  NA    NA    NA  NA    NA   .21     NA   -.74     NA     NA   -.53     NA
Gh04b    2008 20071010 20080604 20080929 581860 438952 1539    NA  NA    NA    NA  NA    NA   .17     NA  -1.03     NA     NA   -.85     NA
Gh05b    2008 20071010 20080604 20080929 581565 437905 1496    NA  NA    NA    NA  NA    NA   .14     NA  -1.36     NA     NA  -1.22     NA
Gh07b    2008 20071010 20080604 20080929 579427 439531 1504    NA  NA    NA    NA  NA    NA   .21     NA  -1.13     NA     NA   -.92     NA
Gh08b    2008 20071010 20080604 20080929 580658 438637 1516    NA  NA    NA    NA  NA    NA   .14     NA  -1.20     NA     NA  -1.06     NA
Gh09b    2008 20071010 20080604 20080929 582674 437581 1500    NA  NA    NA    NA  NA    NA   .14     NA  -1.20     NA     NA  -1.06     NA
Gh10b    2008 20071010 20080604 20080929 583521 436848 1505    NA  NA    NA    NA  NA    NA   .14     NA   -.97     NA     NA   -.83     NA
Gh11b    2008 20071010 20080604 20080929 582580 436267 1433    NA  NA    NA    NA  NA    NA   .14     NA  -1.31     NA     NA  -1.17     NA
