#stake     ar       d1       d2       d3      x      y    h   dw rhow   imw   ds rhos   ims  nswe bw_str bs_str ba_str bw_fld bs_fld ba_fld
A5       1997       NA 19970529 19971002 628192 404435  377    NA  NA  1.60    NA  NA  4.74   .00  -1.60  -4.74  -6.34  -1.60  -4.74  -6.34
B07      1997 19960906 19970513 19970919 630473 439127 1350  3.39 426    NA   .68 600    NA   .01   1.45  -1.04    .41   1.45  -1.03    .42
B08      1997 19961001 19970518 19971018 639129 477646  722   .14 321    NA    NA  NA  5.24   .09    .04  -5.29  -5.24    .04  -5.20  -5.16
B09      1997 19961001 19970518 19971018 638775 476669  759   .26 481    NA    NA  NA  4.89   .12    .12  -5.01  -4.89    .12  -4.89  -4.76
B10      1997 19961001 19970518 19971018 637541 472903  867   .76 493    NA    NA  NA  3.90   .14    .38  -4.27  -3.90    .38  -4.13  -3.76
B12      1997 19961001 19970518 19971018 632041 462484 1082  1.61 466    NA    NA  NA  2.65   .19    .75  -3.40  -2.65    .75  -3.21  -2.46
B13      1997       NA 19970517 19970919 627964 455361 1207  2.40 458    NA    NA  NA  1.18   .08   1.10  -2.28  -1.18   1.10  -2.20  -1.10
B14      1997 19960906 19970517 19970919 624079 449688 1312  2.77 437    NA    NA  NA   .55   .04   1.21  -1.76   -.55   1.21  -1.73   -.52
B16      1997 19960830 19970513 19970919 610882 434263 1521  3.63 438    NA   .72 600    NA   .03   1.59  -1.16    .43   1.59  -1.13    .46
B17      1997 19960906 19970518       NA 620506 459141 1212  1.86 473    NA    NA  NA    NA    NA    .88     NA     NA    .88     NA     NA
BB0      1997 19960904 19970515 19970920 640736 433964 1521  4.58 448    NA  2.12 600    NA   .03   2.05   -.78   1.27   2.05   -.75   1.30
Bor      1997 19960830 19970611 19970826 580160 436017 1408  4.50 444    NA   .94 600    NA   .00   2.00  -1.43    .57   2.00  -1.43    .57
Br0      1997 19960901 19970504 19970921 630334 400099   97    NA  NA    NA    NA  NA    NA   .00     NA  -7.79     NA     NA  -7.79     NA
Br1      1997 19960901 19970529 19971003 630378 401961  267    NA  NA  1.24    NA  NA  5.82   .00  -1.24  -5.82  -7.06  -1.24  -5.82  -7.06
Br2      1997       NA 19970503 19970921 627817 403653  336    NA  NA  1.58    NA  NA  5.23   .00  -1.58  -5.23  -6.81  -1.58  -5.23  -6.81
Br3      1997       NA 19970503 19970921 628223 407425  461  1.01 530    NA    NA  NA  3.99   .00    .54  -4.53  -3.99    .54  -4.53  -3.99
Bre4     1997 19960906 19970503 19971001 625173 412351  653  1.28 530    NA    NA  NA  4.29   .00    .68  -4.96  -4.29    .68  -4.96  -4.29
Bre5     1997       NA 19970504 19971001 630490 420644  824  2.78 532    NA    NA  NA  1.75   .00   1.48  -3.23  -1.75   1.48  -3.23  -1.75
Bre6     1997 19960906 19970503       NA 629474 424965 1039  2.56 531    NA    NA  NA    NA    NA   1.36     NA     NA   1.36     NA     NA
Bru      1997 19960905 19970519 19971019 646880 468204  850   .77 461    NA    NA  NA  4.26   .19    .35  -4.61  -4.26    .35  -4.42  -4.07
Bud      1997 19960905 19970519 19970920 643557 458859 1131  2.44 504    NA    NA  NA  1.94   .05   1.23  -3.17  -1.94   1.23  -3.12  -1.90
D01      1997 19961001 19970514 19971019 607483 480263  781   .14 536    NA    NA  NA  5.64   .10    .07  -5.72  -5.64    .07  -5.61  -5.54
D02      1997 19961001 19970514 19971019 607910 478391  844   .35 414    NA    NA  NA  5.03   .14    .14  -5.18  -5.03    .14  -5.04  -4.89
D03      1997 19960903 19970514 19971019 606032 476115  962   .65 477    NA    NA  NA  4.25   .17    .31  -4.56  -4.25    .31  -4.38  -4.07
D05      1997 19960903 19970514       NA 600179 469500 1194  1.71 439    NA    NA  NA    NA    NA    .75     NA     NA    .75     NA     NA
D07      1997 19960903 19970514 19971019 596258 461261 1388  2.61 425    NA    NA  NA   .57   .24   1.11  -1.68   -.57   1.11  -1.44   -.32
D09      1997 19961001 19970514 19970825 595537 449191 1584  3.86 455    NA   .83 600    NA   .00   1.75  -1.25    .50   1.68  -1.25    .43
D10      1997 19961001 19970514       NA 592774 472514 1195  1.50 480    NA    NA  NA  1.20    NA    .72  -1.92  -1.20    .72  -1.92  -1.20
E01      1997 19961001 19970519 19971019 664268 468967  782   .71 465    NA    NA  NA  4.30   .20    .33  -4.63  -4.30    .33  -4.43  -4.10
E02      1997 19961001 19970519 19971019 662420 465564  961  1.38 449    NA    NA  NA  3.65   .10    .62  -4.26  -3.65    .62  -4.16  -3.54
E03      1997 19961001 19970519 19970920 661912 460966 1192  3.93 471    NA    NA  NA   .77   .07   1.85  -2.62   -.77   1.82  -2.54   -.73
E04      1997 19961001 19970518 19970920 661997 457728 1292  3.60 474    NA   .26 600    NA   .10   1.71  -1.55    .15   1.65  -1.45    .21
EYB      1997       NA 19970519 19970920 656811 466541  915  1.89 505    NA    NA  NA  3.43   .07    .95  -4.38  -3.43    .95  -4.31  -3.36
GL10     1997       NA 19970825       NA 573494 452584 1767  2.00 600    NA    NA  NA    NA    NA   1.20     NA     NA   1.20     NA     NA
GL10a    1997 19970825 19970610       NA 583060 454652 1632  3.53 425    NA    NA  NA    NA    NA   1.50     NA     NA   1.50     NA     NA
GL11     1997       NA 19970610       NA 582338 450060 1667  2.72 450    NA    NA  NA    NA    NA   1.22     NA     NA   1.22     NA     NA
GL12     1997       NA 19970610       NA 584708 452876 1617  2.05 444    NA    NA  NA    NA    NA    .91     NA     NA    .91     NA     NA
GL13     1997       NA 19970610       NA 588577 456648 1512  3.02 450    NA    NA  NA    NA    NA   1.36     NA     NA   1.36     NA     NA
