#stake     ar       d1       d2       d3      x      y    h   dw rhow   imw   ds rhos   ims  nswe bw_str bs_str ba_str bw_fld bs_fld ba_fld
B07      2016 20151022 20160508 20161010 630475 439227 1356  4.02 480    NA  1.07 600   .00   .18   1.93  -1.29    .64   1.81  -1.11    .70
B09      2016 20151024 20160507 20161011 638453 475407  735   .99 420    NA    NA  NA  5.40   .00    .41  -5.81  -5.40    .38  -5.81  -5.44
B10      2016 20151024 20160507 20161011 637586 472834  793  1.33 509    NA    NA  NA  4.22   .00    .68  -4.90  -4.22    .64  -4.90  -4.26
B11      2016 20151024 20160507 20161011 634802 467605  956  2.22 470    NA    NA  NA  2.32   .00   1.04  -3.36  -2.32    .97  -3.36  -2.39
B12      2016 20151024 20160507 20161011 632134 462508 1076  2.50 425    NA    NA  NA  1.36   .00   1.06  -2.42  -1.36    .99  -2.42  -1.43
B13      2016 20151023 20160507 20161011 627985 455375 1215  3.26 473    NA   .08 600   .00   .10   1.54  -1.49    .05   1.48  -1.39    .09
B14      2016 20151023 20160507 20161010 624220 449839 1316  3.57 470    NA   .70 600   .00   .15   1.68  -1.26    .42   1.54  -1.11    .43
B15      2016 20151023 20160506 20161011 620200 443826 1400  3.82 497    NA   .93 600   .00   .29   1.90  -1.34    .56   1.76  -1.05    .71
B16      2016 20151028 20160507 20161014 611821 435383 1526  4.50 478    NA  2.08 600   .00   .48   2.15   -.91   1.25   1.84   -.43   1.41
B17      2016 20151023 20160507 20161010 620567 459176 1212  3.46 510    NA   .10 600   .00   .09   1.77  -1.71    .06   1.72  -1.62    .10
B18      2016 20151023 20160507 20161010 643864 450613 1313  4.40 454    NA  1.15 600   .00   .12   2.00  -1.31    .69   1.88  -1.19    .70
B19      2016 20151022 20160508 20161010 647504 444112 1437  6.45 478    NA  3.72 600   .00   .32   3.09   -.85   2.23   2.95   -.54   2.41
Barc     2016 20151026 20160605       NA 574350 460800 1876  4.87 565    NA    NA 600    NA    NA   2.75     NA     NA   2.29     NA     NA
BB0      2016 20151022 20160508 20161010 640686 433970 1518  6.28 480    NA  3.78 600   .00   .38   3.01   -.75   2.27   2.73   -.37   2.36
Bor      2016 20151025 20160606 20161016 580212 435921 1403  3.67 540    NA   .81 600   .00   .43   1.92  -1.43    .49   1.60  -1.00    .60
Borth    2016 20151025 20160508 20161016 581000 436208 1407  4.05 480    NA   .85 600   .00   .44   1.95  -1.44    .51   1.56  -1.00    .56
Br1      2016 20151015 20160508 20161009 630224 402122  138    NA  NA  1.30    NA  NA  5.90   .00  -1.30  -5.90  -7.21  -1.30  -5.90  -7.21
Br2      2016 20151015 20160508 20161009 627893 403028  215    NA  NA   .90    NA  NA  7.22   .00   -.90  -7.22  -8.12   -.90  -7.22  -8.12
Br3      2016 20151015 20160508 20161009 626485 406892  389   .80 500    NA    NA  NA  5.40   .00    .40  -5.80  -5.40    .40  -5.80  -5.40
Br4      2016 20151015 20160508 20161010 629452 411468  531  1.35 500    NA    NA  NA  3.38   .00    .68  -4.06  -3.38    .68  -4.06  -3.38
Br7      2016 20151022 20160508 20161010 631179 432483 1245  4.17 484    NA   .91 600   .00   .24   2.02  -1.47    .55   1.90  -1.23    .67
Bru      2016 20151023 20160507 20161010 646930 468282  759  1.29 487    NA    NA  NA  5.49   .00    .63  -6.12  -5.49    .61  -6.12  -5.51
Bud      2016 20151023 20160507 20161010 643676 458801 1135  3.43 450    NA    NA  NA   .64   .00   1.54  -2.18   -.64   1.21  -2.18   -.97
D05      2016 20151024 20160506 20161014 599622 468660 1201  2.38 460    NA    NA  NA  1.57   .00   1.10  -2.66  -1.57   1.04  -2.66  -1.63
D07      2016 20151024 20160506 20161014 596216 461197 1372  2.75 444    NA    NA  NA   .04   .19   1.22  -1.26   -.04   1.15  -1.08    .08
D09      2016 20151024 20160506 20161014 595538 449127 1582  4.23 484    NA  2.00 600   .00   .30   2.05   -.85   1.20   1.80   -.55   1.26
D12      2016 20151024 20160506 20161014 596037 443858 1647  4.69 475    NA  3.24 600   .00   .32   2.23   -.28   1.94   2.00    .03   2.03
E01      2016 20151023 20160508 20161010 663709 469257  700  2.14 517    NA    NA  NA  3.96   .00   1.11  -5.07  -3.96   1.08  -5.07  -4.00
E02      2016 20151023 20160508 20161010 662407 465601  952  2.96 518    NA    NA  NA  2.74   .00   1.53  -4.27  -2.74   1.50  -4.27  -2.77
E03      2016 20151023 20160508 20161010 661909 460977 1187  3.98 470    NA    NA  NA   .03   .00   1.87  -1.91   -.03   1.80  -1.91   -.10
E04      2016 20151023 20160508 20161010 661939 457796 1287  4.99 483    NA  1.80 600   .00   .10   2.41  -1.33   1.08   2.29  -1.23   1.06
Fl01     2016 20151022 20160508 20161010 647949 440730 1346  5.66 477    NA  2.91 600   .00   .19   2.70   -.95   1.75   2.46   -.76   1.70
G02      2016 20151025 20160608 20161015 582064 439513 1561  3.50 542    NA  1.51 600   .00   .46   1.90   -.99    .91   1.58   -.54   1.05
G03      2016 20151025 20160608 20161015 583084 442516 1655  3.57 600    NA  2.48 600   .00   .50   2.14   -.66   1.49   1.83   -.16   1.67
G04      2016 20151025 20160608 20161015 584042 445473 1684  3.61 579    NA  2.15 600   .00   .57   2.09   -.80   1.29   1.75   -.23   1.52
Gb2      2016 20151023 20160507 20161010 643736 455300 1202  3.92 489    NA   .22 600   .00   .01   1.92  -1.79    .13   1.85  -1.78    .07
Go1      2016 20151025 20160605 20161015 575940 452592 1757  4.56 540    NA  3.12 600   .00   .48   2.48   -.61   1.87   2.48   -.12   2.35
Haab     2016 20151025 20160608 20161016 577208 428466 1728  5.43 529    NA  3.60 600   .00   .82   2.87   -.71   2.16   2.00    .11   2.11
Hof01    2016 20151023 20160508 20161010 663198 452939 1139  3.94 490    NA    NA  NA   .06   .00   1.92  -1.98   -.06   1.74  -1.98   -.24
K01      2016 20151026 20160506 20161015 554446 454342 1056  1.54 467    NA    NA  NA  3.76   .00    .72  -4.48  -3.76    .72  -4.48  -3.76
K02      2016 20151026 20160506 20161015 556151 453722 1174  2.02 459    NA    NA  NA  2.57   .00    .93  -3.50  -2.57    .89  -3.50  -2.61
K03      2016 20151026 20160506 20161015 558787 452722 1294  2.09 450    NA    NA  NA  1.35   .00    .94  -2.29  -1.35    .90  -2.29  -1.39
K04      2016 20151026 20160506 20161015 562130 450851 1485  2.86 462    NA    NA  NA   .13   .19   1.32  -1.45   -.13   1.09  -1.26   -.17
K05      2016 20151026 20160506 20161015 567578 451418 1679  4.10 453    NA  1.96 600   .00   .33   1.86   -.68   1.18   1.57   -.35   1.22
K06      2016 20151026 20160605 20161016 570616 460603 1946  4.31 519    NA  3.49 600   .00   .36   2.24   -.14   2.09   1.85    .22   2.07
K07      2016 20151026 20160506 20161015 562471 443262 1532  3.82 467    NA  1.27 600   .00   .30   1.78  -1.02    .76   1.48   -.73    .76
S01      2016 20151026 20160504 20161015 556867 402073  730  1.30 630    NA    NA  NA  4.70   .00    .82  -5.52  -4.70    .78  -5.52  -4.74
S02      2016 20151026 20160504 20161015 557511 411662 1006  3.09 525    NA    NA  NA  2.05    NA   1.62  -3.67  -2.05   1.55  -3.67  -2.13
S04      2016 20151026 20160504 20161015 557982 419120 1157  3.39 494    NA    NA  NA  1.20   .00   1.62  -2.82  -1.20   1.53  -2.82  -1.29
Ske04    2016       NA 20160609       NA 599702 429829 1398  4.19 610    NA    NA 600    NA    NA   2.56     NA     NA   2.56     NA     NA
Skf01    2016 20151022 20160509 20161010 641151 425212 1281  6.02 485    NA  2.45 600   .00   .12   2.92  -1.45   1.47   2.78  -1.33   1.45
T01      2016 20151026 20160503 20161016 541729 425012  730  1.34 598    NA    NA  NA  6.08   .00    .80  -6.89  -6.08    .80  -6.89  -6.08
T02      2016 20151026 20160503 20161016 545162 425268  934  2.58 496    NA    NA  NA  3.40   .00   1.28  -4.68  -3.40   1.25  -4.68  -3.44
T03      2016 20151027 20160504 20161016 549474 426464 1072  2.35 496    NA    NA  NA  2.28   .00   1.17  -3.44  -2.28   1.06  -3.44  -2.39
T04      2016 20151027 20160504 20161016 555163 428648 1220  3.53 469    NA    NA  NA   .64   .10   1.66  -2.29   -.64   1.47  -2.19   -.72
T05      2016 20151027 20160504 20161015 561969 430533 1343  3.29 487    NA    NA  NA   .04   .21   1.60  -1.65   -.04   1.36  -1.44   -.07
T06      2016 20151027 20160504 20161016 567086 434348 1465  4.03 469    NA   .76 600   .00   .56   1.89  -1.43    .46   1.54   -.87    .66
T07      2016 20151025 20160505 20161016 571329 436344 1562  4.64 468    NA  2.36 600   .00   .41   2.17   -.75   1.42   1.71   -.34   1.37
T08      2016 20151025 20160505 20161016 574039 438256 1635  4.43 450    NA  1.88 600   .00   .44   2.00   -.87   1.13   1.51   -.43   1.08
TJ-01    2016       NA 20160605       NA 594799 406650  855  1.73 645    NA    NA 600    NA    NA   1.12     NA     NA   1.12     NA     NA
TJ-02    2016       NA 20160605       NA 594012 407961  879  1.93 620    NA    NA 600    NA    NA   1.20     NA     NA   1.20     NA     NA
TJ-03    2016       NA 20160605       NA 594894 413936  994  3.40 595    NA    NA 600    NA    NA   2.02     NA     NA   2.02     NA     NA
TJ-04    2016       NA 20160606       NA 588500 426868 1249  3.11 660    NA    NA 600    NA    NA   2.05     NA     NA   2.05     NA     NA
TJ-05    2016       NA 20160606       NA 586158 424004 1139  2.22 677    NA    NA 600    NA    NA   1.50     NA     NA   1.50     NA     NA
TJ-06    2016       NA 20160606       NA 595122 411532  956  2.31 702    NA    NA 600    NA    NA   1.62     NA     NA   1.62     NA     NA
TJ-07    2016       NA 20160606       NA 581530 421193 1061  2.33 644    NA    NA 600    NA    NA   1.50     NA     NA   1.50     NA     NA
TJ-08    2016       NA 20160607       NA 564830 425833 1345  3.12 587    NA    NA 600    NA    NA   1.83     NA     NA   1.83     NA     NA
TJ-09    2016       NA 20160608       NA 567899 421821 1438  3.15 659    NA    NA 600    NA    NA   2.08     NA     NA   2.08     NA     NA
