#stake     ar       d1       d2       d3      x      y    h   dw rhow   imw   ds rhos   ims  nswe bw_str bs_str ba_str bw_fld bs_fld ba_fld
B07      2021 20201009 20210501 20211015 630457 439245 1356  4.03 479    NA  1.03 600    NA   .21   1.93  -1.31    .62   1.70  -1.10    .60
B09      2021 20201009 20210502 20211016 637967 474632  724   .20 300    NA    NA  NA -5.95   .05    .06  -6.01  -5.95    .02  -5.96  -5.93
B10      2021 20201009 20210502 20211016 637581 472827  767   .40 441    NA    NA  NA -5.85   .10    .18  -6.03  -5.85    .14  -5.92  -5.78
B11      2021 20201009 20210502 20211016 634817 467608  946  2.41 470    NA    NA  NA -2.96   .19   1.13  -4.09  -2.96   1.06  -3.90  -2.84
B12      2021 20201009 20210502 20211016 632122 462507 1076  2.44 529    NA    NA  NA -2.32   .21   1.29  -3.61  -2.32   1.19  -3.40  -2.22
B13      2021 20201009 20210502 20211015 628020 455466 1219  3.38 476    NA    NA  NA  -.57   .22   1.61  -2.18   -.57   1.45  -1.96   -.51
B14      2021 20201009 20210501 20211015 624209 449862 1320  3.47 477    NA    NA  NA  -.05   .17   1.66  -1.71   -.05   1.48  -1.53   -.05
B15      2021 20201009 20210501 20211015 620195 443837 1402  3.92 478    NA   .57 600    NA   .28   1.87  -1.53    .34   1.68  -1.25    .43
B16      2021 20201009 20210503 20211015 611781 435387 1526  3.72 466    NA  1.17 600    NA   .24   1.73  -1.03    .70   1.38   -.79    .59
B17      2021 20201009 20210501 20211016 620570 459175 1215  2.84 475    NA    NA  NA -1.13   .25   1.35  -2.47  -1.12   1.26  -2.22   -.96
B18      2021 20201008 20210501 20211015 643871 450577 1314  4.84 453    NA   .73 600    NA   .20   2.19  -1.75    .44   1.90  -1.55    .35
B19      2021 20201008 20210501 20211015 647499 444105 1437  5.31 472    NA  2.43 600    NA   .19   2.51  -1.05   1.46   2.11   -.86   1.24
Barc     2021 20201010 20210608       NA 574267 460796 1897  4.70 502    NA    NA  NA    NA   .00   2.36     NA     NA   2.11     NA     NA
BB0      2021 20201008 20210501 20211015 640687 433957 1516  5.77 464    NA  3.74 600    NA   .21   2.58   -.33   2.24   2.23   -.12   2.10
Bor      2021 20201012 20210503 20211018 580209 435908 1456  4.14 453    NA   .31 600    NA   .27   1.85  -1.67    .19   1.50  -1.40    .10
Borth    2021 20201012 20210505 20211018 580971 436057 1457  3.30 470    NA   .49 600    NA   .27   1.55  -1.26    .29   1.16   -.99    .16
Br1      2021 20201010 20210507 20211015 630132 402342   99 -2.20 900  2.36    NA  NA -9.58   .00  -2.12  -9.58 -11.70  -2.12  -9.58 -11.70
Br2      2021 20201010 20210507       NA 627903 402989  171 -1.36 900  1.37    NA  NA -8.70   .00  -1.23  -8.70  -9.93  -1.23  -8.70  -9.93
Br3      2021 20201010 20210413       NA 626550 406792  361   .30 500    NA    NA  NA -7.35   .00    .15  -7.50  -7.35    .15  -7.50  -7.35
Br5      2021 20201010 20210501       NA 630053 416418  668   .99 505    NA    NA  NA    NA   .00    .50     NA     NA    .50     NA     NA
Br7      2021 20201009 20210501 20211015 631178 432462 1243  3.90 ###    NA  1.09 600    NA   .26   2.00  -1.35    .65   1.75  -1.08    .67
