#stake     ar       d1       d2       d3      x      y    h   dw rhow   imw   ds rhos   ims  nswe bw_str bs_str ba_str bw_fld bs_fld ba_fld
B07      2019 20181009 20190501 20191018 630467 439253 1357  5.01 508    NA  1.95 600   .00   .20   2.55  -1.38   1.17   2.34  -1.17   1.16
B09      2019 20181009 20190503 20191019 638154 475011  722    NA  NA    NA    NA  NA  5.76   .01    .00  -5.76  -5.76    .00  -5.75  -5.75
B10      2019 20181009 20190503 20191019 637585 472834  776   .10 550    NA    NA  NA  4.80   .00    .06  -4.86  -4.80    .06  -4.86  -4.80
B11      2019 20181009 20190503 20191019 634832 467653  947  1.05 608    NA    NA  NA  2.82   .03    .64  -3.46  -2.82    .54  -3.43  -2.88
B12      2019 20181009 20190503 20191019 632125 462498 1075  2.00 540    NA    NA  NA  1.38   .10   1.08  -2.46  -1.38    .94  -2.36  -1.42
B13      2019 20181009 20190503 20191019 628019 455491 1215  3.28 542    NA    NA  NA   .04   .15   1.78  -1.82   -.04   1.59  -1.67   -.08
B14      2019 20181009 20190503 20191019 624215 449857 1319  3.86 522    NA   .44 600   .00   .26   2.01  -1.75    .26   1.78  -1.49    .29
B15      2019 20181009 20190503 20191019 620193 443834 1403  4.51 509    NA  1.32 600   .00   .32   2.30  -1.50    .79   2.10  -1.19    .91
B16      2019 20181009 20190530 20191019 611796 435402 1525  4.68 495    NA  1.92 600   .00   .35   2.32  -1.16   1.15   2.03   -.81   1.21
B17      2019 20181009 20190501 20191019 620568 459175 1214  2.90 531    NA    NA  NA   .58   .21   1.54  -2.12   -.58   1.34  -1.91   -.57
B18      2019 20181009 20190501 20191018 643855 450601 1313  4.81 506    NA  1.86 600   .00   .24   2.43  -1.32   1.12   2.04  -1.08    .96
B19      2019 20181009 20190501 20191018 647497 444118 1438  7.15 519    NA  4.24 600   .00   .63   3.71  -1.17   2.54   3.36   -.54   2.82
BB0      2019 20181008 20190501 20191018 640688 433961 1519  7.32 510    NA  4.08 600   .00   .49   3.73  -1.29   2.45   3.33   -.80   2.54
Bor      2019 20181010 20190606 20191022 580216 435914 1402  4.84 542    NA   .46 600   .00   .22   2.62  -2.35    .28   2.44  -2.13    .31
Borth    2019 20181010 20190504 20191022 580981 436128 1403  4.63 520    NA   .33 600   .00   .22   2.41  -2.21    .20   2.23  -1.99    .24
Br1      2019 20181010 20190501 20191127 630232 402116  101    NA  NA  2.85    NA  NA 10.75   .00  -2.85 -10.75 -13.60  -2.85 -10.75 -13.60
Br2      2019 20181010 20190501 20191127 627899 402999  189    NA  NA  2.65    NA  NA  7.97   .00  -2.65  -7.97 -10.62  -2.65  -7.97 -10.62
Br3      2019 20181010 20190501 20191128 626530 406829  373    NA  NA  2.35    NA  NA  7.30   .00  -2.35  -7.30  -9.65  -2.35  -7.30  -9.65
Br7      2019 20181009 20190501 20191018 631189 432523 1246  3.88 547    NA   .30 600   .00   .23   2.12  -1.94    .18   1.87  -1.71    .16
Bru      2019 20181009 20190502 20191019 645997 465903  894  1.16 670    NA    NA  NA  2.84   .04    .78  -3.62  -2.84    .77  -3.58  -2.81
Bud      2019 20181009 20190502 20191018 643663 458799 1135  2.39 598    NA    NA  NA   .91   .22   1.43  -2.34   -.91   1.11  -2.12  -1.00
D05      2019 20181010 20190504 20191020 599585 468619 1202  2.41 554    NA    NA  NA  1.83   .09   1.34  -3.16  -1.83   1.16  -3.07  -1.91
D07      2019 20181010 20190504 20191020 596191 461179 1376  3.63 511    NA    NA  NA   .21   .14   1.85  -2.06   -.21   1.56  -1.92   -.36
D09      2019 20181010 20190504 20191020 595507 449104 1585  4.62 490    NA  1.69 600   .00   .14   2.26  -1.25   1.01   2.00  -1.11    .89
D12      2019 20181010 20190504 20191020 596009 443869 1648  4.60 478    NA  1.92 600   .00   .26   2.20  -1.05   1.15   1.89   -.79   1.11
E01      2019 20181009 20190502 20191019 663143 468421  763   .10 550    NA    NA  NA  5.23   .00    .06  -5.29  -5.23    .01  -5.29  -5.28
E02      2019 20181009 20190502 20191019 662402 465583  949  1.90 541    NA    NA  NA  2.29   .04   1.03  -3.32  -2.29    .98  -3.28  -2.31
E03      2019 20181009 20190502 20191019 661900 460972 1187  3.69 560    NA   .80 600   .00   .15   2.07  -1.59    .48   1.75  -1.43    .32
E04      2019 20181009 20190501 20191019 661892 457789 1288  5.17 546    NA  1.86 600   .00   .24   2.82  -1.71   1.12   2.53  -1.46   1.06
Fl01     2019 20181009 20190501 20191018 647954 440713 1347  7.04 533    NA  3.97 600   .00   .40   3.75  -1.37   2.38   3.37   -.97   2.40
G02      2019 20181010 20190602 20191020 582066 439503 1563  4.09 490    NA  1.72 600   .00   .08   2.00   -.97   1.03   1.72   -.90    .83
G03      2019 20181010 20190602 20191020 583096 442488 1657  4.95 496    NA  2.39 600   .00   .23   2.46  -1.02   1.43   2.14   -.79   1.35
G04      2019 20181010 20190602 20191020 584043 445454 1686  5.23 495    NA  2.90 600   .00   .14   2.59   -.85   1.74   2.27   -.71   1.57
Go1      2019 20181010 20190601 20191020 575927 452595 1758  4.68 495    NA  2.42 600   .00   .19   2.32   -.87   1.45   1.99   -.68   1.31
Haab     2019 20181010 20190606 20191020 577208 428439 1729  7.32 492    NA  3.96 600   .00   .19   3.60  -1.23   2.37   3.29  -1.03   2.25
Hof01    2019 20181009 20190501 20191019 663193 452992 1142  5.28 556    NA   .88 600   .00   .12   2.94  -2.41    .53   2.69  -2.29    .40
K01      2019 20181010 20190505 20191020 554419 454353 1046   .45 670    NA    NA  NA  5.79   .00    .30  -6.10  -5.79    .25  -6.10  -5.85
K02      2019 20181010 20190505 20191020 556158 453711 1170   .97 561    NA    NA  NA  4.86   .01    .54  -5.40  -4.86    .40  -5.39  -4.99
K03      2019 20181010 20190505 20191020 558795 452703 1293  1.55 620    NA    NA  NA  2.56   .02    .96  -3.52  -2.56    .76  -3.50  -2.74
K04      2019 20181010 20190505 20191020 562144 450863 1486  3.21 523    NA    NA  NA   .36   .04   1.68  -2.04   -.36   1.43  -2.00   -.57
K05      2019 20181010 20190505 20191020 567564 451416 1679  4.16 496    NA  1.34 600   .00   .23   2.06  -1.26    .80   1.81  -1.02    .78
K06      2019 20181010 20190601 20191020 570631 460598 1943  5.68 489    NA  3.64 600   .00   .44   2.78   -.59   2.18   2.27   -.15   2.12
K07      2019 20181010 20190505 20191020 562466 443242 1531  3.72 528    NA   .86 600   .00   .04   1.96  -1.45    .52   1.72  -1.41    .31
S01      2019 20181010 20190505 20191129 556873 402053  716   .00   0    NA    NA  NA  6.13   .00    .00  -6.13  -6.13   -.16  -6.13  -6.29
S02      2019 20181010 20190505 20191021 557498 411642 1002  1.99 588    NA    NA  NA  3.73   .00   1.17  -4.91  -3.73    .96  -4.91  -3.94
S04      2019 20181010 20190505 20191021 557984 419119 1157  2.84 573    NA    NA  NA  2.21   .09   1.63  -3.83  -2.21   1.42  -3.75  -2.33
S05      2019 20181010 20190504 20191021 569273 427395 1451  5.31 492    NA  1.07 600   .00   .10   2.61  -1.97    .64   2.36  -1.87    .50
Ske02a   2019 20181009 20190504       NA 589381 423568 1206  3.01 513    NA    NA 600    NA    NA   1.54     NA     NA   1.43     NA     NA
Ske03a   2019       NA 20190504       NA 596805 423123 1251  2.81 551    NA    NA 600    NA    NA   1.55     NA     NA   1.55     NA     NA
Ske04a   2019 20181009 20190504 20191019 601126 426419 1365  4.02 526    NA   .22 600   .00   .21   2.11  -1.98    .13   1.90  -1.77    .12
Ske05    2019 20181009 20190504 20191019 603795 430601 1433  4.74 526    NA  1.16 600   .00   .26   2.49  -1.80    .70   2.36  -1.54    .83
Skf00    2019 20181008 20190430 20191022 650171 420930  950  3.38 575    NA    NA  NA  1.78   .00   1.94  -3.72  -1.78   1.68  -3.72  -2.04
Skf01    2019 20181008 20190430 20191018 641145 425235 1283  7.02 522    NA  2.96 600   .00   .35   3.66  -1.89   1.78   3.34  -1.54   1.80
T01      2019 20181010 20190506 20191129 542831 426103  776   .00   0    NA    NA  NA  7.88   .00    .00  -7.88  -7.88    .00  -7.88  -7.88
T01ved   2019 20181010 20190506 20191021 544117 425014  873   .00   0    NA    NA  NA  5.45   .00    .00  -5.45  -5.45    .00  -5.45  -5.45
T02      2019 20181010 20190505 20191021 545136 425271  922   .95 604    NA    NA  NA  4.27   .00    .57  -4.84  -4.27    .40  -4.84  -4.45
T03      2019 20181010 20190505 20191021 549480 426458 1068  1.93 691    NA    NA  NA  2.56   .00   1.33  -3.90  -2.56   1.17  -3.90  -2.72
T04      2019 20181010 20190505 20191021 555136 428653 1220  2.71 608    NA    NA  NA  1.65   .09   1.65  -3.30  -1.65   1.48  -3.21  -1.73
T05      2019 20181010 20190505 20191021 561961 430523 1345  3.30 577    NA    NA  NA   .84   .15   1.90  -2.74   -.84   1.68  -2.59   -.91
T06      2019 20181010 20190505 20191021 567097 434347 1468  4.55 502    NA  1.27 600   .00   .15   2.28  -1.52    .76   2.07  -1.38    .70
T07      2019 20181010 20190504 20191020 571319 436354 1563  4.56 508    NA  1.07 600   .00   .10   2.32  -1.67    .64   2.09  -1.57    .52
T08      2019 20181010 20190504 20191020 574038 438270 1636  5.20 467    NA  2.08 600   .00   .18   2.43  -1.18   1.25   2.20  -1.00   1.20
