#stake     ar       d1       d2       d3      x      y    h   dw rhow   imw   ds rhos   ims  nswe bw_str bs_str ba_str bw_fld bs_fld ba_fld
K05      2011 20101010 20110510 20111024 567546 451447 1679  4.76 475    NA   .65 600   .00   .35   2.26  -1.87    .39   2.09  -1.52    .57
K06      2011 20101010 20110531 20111024 570615 460602 1965  5.08 486    NA  3.91 600   .00   .58   2.47   -.12   2.35   2.27    .46   2.74
K07      2011 20101011 20110510 20111024 562431 443271 1533  5.08 492    NA  2.48 600   .00    NA   2.50  -1.01   1.49   2.40  -1.01   1.39
S01      2011 20110111 20110509 20111023 556850 402052  748  1.77 628    NA    NA  NA  4.36   .05   1.11  -5.47  -4.36   1.08  -5.42  -4.34
S02      2011 20110111 20110509 20111023 557450 411619 1010  3.43 613    NA    NA  NA  2.54   .16   2.11  -4.65  -2.54   1.93  -4.49  -2.55
S04low   2011 20101010 20110509 20111023 557950 419176 1160  3.88 572    NA    NA  NA  1.71   .53   2.22  -3.93  -1.71   2.22  -3.41  -1.19
S04ridge 2011 20101010 20110509 20111023 557950 419176 1160  3.88 572    NA  3.70 600   .00    NA   2.22    .00   2.22   2.22    .00   2.22
Skf01    2011 20101006 20110503 20111019 641120 425234 1281  7.02 520    NA  3.50 600   .00   .35   3.65  -1.55   2.10   3.46  -1.20   2.26
T01      2011 20110111 20110509 20111023 541729 425008  759  1.02 616    NA    NA  NA  5.11   .00    .63  -5.74  -5.11    .59  -5.74  -5.15
T02      2011 20110111 20110509 20111023 545169 425293  947  2.94 627    NA    NA  NA  3.05   .04   1.84  -4.89  -3.05   1.63  -4.86  -3.22
T03      2011 20101009 20110508 20111023 549442 426438 1077  2.75 600    NA    NA  NA  2.35   .14   1.66  -4.01  -2.35   1.66  -3.87  -2.21
T04      2011 20101009 20110508 20111023 555099 428672 1222  3.13 601    NA    NA  NA  2.57    NA   1.88  -4.45  -2.57   1.87  -4.45  -2.58
T05low   2011 20101009 20110508 20111023 561985 430586 1343  4.49 527    NA    NA  NA   .14   .07   2.37  -2.51   -.14   2.37  -2.44   -.07
T05ridge 2011 20101009 20110508 20111023 561985 430586 1343  4.49 527    NA  3.94 600   .00    NA   2.37    .00   2.37   2.37    .00   2.37
T06low   2011 20101009 20110508 20111024 567002 434344 1456  5.21 552    NA  2.79 600   .00   .63   2.72  -1.05   1.67   2.72   -.42   2.30
T06ridge 2011 20101009 20110508 20111024 567002 434344 1456  5.21 552    NA  3.56 600   .00    NA   2.72   -.58   2.14   2.72   -.58   2.14
T07low   2011 20101009 20110508 20111024 571385 436393 1561  5.27 500    NA  2.06 600   .00    NA   2.63  -1.40   1.24   2.63  -1.40   1.24
T07ridge 2011 20101009 20110508 20111024 571385 436393 1561  5.27 500    NA  3.46 600   .00   .37   2.63   -.56   2.08   2.63   -.19   2.44
T08low   2011 20101009 20110508 20111023 574002 438289 1633  5.51 424    NA  1.39 600   .00   .17   2.33  -1.50    .83   2.33  -1.32   1.01
T08ridge 2011 20101009 20110508 20111023 574002 438289 1633  5.51 424    NA  3.89 600   .00    NA   2.33    .00   2.33   2.33    .00   2.33
