#stake     ar       d1       d2       d3      x      y    h   dw rhow   imw   ds rhos   ims  nswe bw_str bs_str ba_str bw_fld bs_fld ba_fld
B07      2012 20111020 20120507 20121008 630486 439248 1354  4.72 477    NA  1.98 600   .00   .19   2.25  -1.06   1.19   1.91   -.87   1.04
B09      2012 20111021 20120510 20121010 638442 475394  754   .59 900    NA    NA  NA  4.60   .14    .53  -5.13  -4.60    .51  -4.99  -4.48
B10      2012 20111021 20120510 20121010 637583 472830  809   .37 490    NA    NA  NA  4.50   .14    .18  -4.69  -4.50    .15  -4.55  -4.40
B11      2012 20111021 20120510 20121009 634806 467605  959  1.17 546    NA    NA  NA  3.08   .26    .64  -3.72  -3.08    .60  -3.45  -2.85
B12      2012 20111021 20120510 20121009 632130 462520 1074  1.64 519    NA    NA  NA  1.73   .32    .85  -2.58  -1.73    .77  -2.26  -1.49
B13      2012 20111020 20120509 20121009 627941 455365 1212  2.80 520    NA    NA  NA   .85   .30   1.46  -2.31   -.85   1.25  -2.01   -.77
B14      2012 20111020 20120510 20121010 624221 449849 1311  3.20 487    NA    NA  NA   .11   .22   1.56  -1.67   -.11   1.34  -1.45   -.11
B15      2012 20111020 20120510 20121010 620207 443821 1396  4.76 499    NA  1.39 600   .00   .23   2.37  -1.54    .83   2.01  -1.31    .70
B16      2012 20111021 20120507 20121014 610880 434328 1521  4.46 473    NA  1.02 600   .00   .39   2.11  -1.49    .61   1.72  -1.11    .61
B17      2012 20111020 20120509 20121009 620562 459180 1209  1.86 530    NA    NA  NA  1.78   .27    .99  -2.77  -1.78    .88  -2.50  -1.62
B18      2012 20111020 20120508 20121008 643880 450604 1308  3.76 487    NA   .40 600   .00   .39   1.83  -1.59    .24   1.45  -1.21    .25
B19      2012 20111019 20120508 20121008 648157 444029 1430  5.80 508    NA  2.94 600   .00   .43   2.94  -1.18   1.76   2.34   -.75   1.59
BB0      2012 20111019 20120508 20121008 640689 433974 1516  5.16 468    NA  2.93 600   .00   .30   2.42   -.66   1.76   1.82   -.36   1.46
Bor      2012 20111023 20120603 20121013 580209 435909 1400  5.51 580    NA   .50 600   .00   .35   3.17  -2.87    .30   2.86  -2.52    .34
Borth    2012 20111023 20120603 20121013 581004 436237 1399  5.10 580    NA   .18 600   .00   .59   2.96  -2.85    .11   2.96  -2.25    .70
Br1      2012 20111001 20120420 20120930 630440 401536  108    NA  NA  1.92    NA  NA  7.43   .00  -1.92  -7.43  -9.35  -1.92  -7.43  -9.35
