station,file,rmse_albedo,r2_albedo,n_albedo,rmse_totalheight,r2_totalheight,n_totalheight,bw_rmse,bw_r2,bs_rmse,bs_r2,ba_rmse,ba_r2,Start_from_restart_file,Stake_evaluation,WRF_simulation,Compression_level,Slurm_use,Full_field,Force_use_TP,Force_use_N,Tile_of_glacier_of_interest,Time_step_input_file_seconds,Max_layers,Z_measurement_height,Stability_correction,Albedo_method,Densification_method,Penetrating_method,Roughness_method,Saturation_water_vapour_method,Initial_snowheight,Initial_snow_layer_heights,Initial_glacier_height,Initial_glacier_layer_heights,Initial_top_density_snowpack,Initial_bottom_density_snowpack,Temperature_bottom,Const_init_temp,Center_snow_transfer_function,Spread_snow_transfer_function,Multiplication_factor_for_RRR_or_SNOWFALL,Minimum_snow_layer_height,Minimum_snowfall,Remesh_method,First_layer_height_log_profile,Layer_stretching_log_profile,Merge_max,Density_threshold_merging,Temperature_threshold_merging,Density_fresh_snow,Albedo_fresh_snow,Albedo_firn,Albedo_ice,Albedo_mod_snow_aging,Albedo_mod_snow_depth,t_star_wet,t_star_dry,t_star_K,t_star_cutoff,Roughness_fresh_snow,Roughness_ice,Roughness_firn,Aging_factor_roughness,Snow_ice_threshold,lat_heat_melting,lat_heat_vaporize,lat_heat_sublimation,spec_heat_air,spec_heat_ice,spec_heat_water,k_i,k_w,k_a,water_density,ice_density,air_density,sigma,zero_temperature,Surface_emission_coeff
B16,B16_stageB/output/B16_S02_ms0006385_mrrr10552_afs091891_aice0330_afirn0550_aging30_148_20010402-20201010.nc,0.14945910557346503,-0.7958762877503214,163368,0.5640628860483543,0.998149480270463,63868,0.6414437079301784,-2.8595758538524954,0.820138725439424,-3.575835439976151,0.9499238316838762,-1.4569126738606775,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,1.0552,0.001,0.006385,log_profile,0.01,1.2,1,5,0.01,300.0,0.91891,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S02_ms0006456_mrrr9613_afs08944_aice0330_afirn0550_aging30_123_20010402-20201010.nc,0.136088814466191,-0.4889376774085106,163368,0.5801332342827209,0.9965957029950501,63868,0.7837869633574187,-4.762601038820528,0.7072325906053636,-2.402673593987588,0.9420633091284895,-1.4164195061334839,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,0.9613,0.001,0.006456,log_profile,0.01,1.2,1,5,0.01,300.0,0.8944,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S02_ms0006542_mrrr11873_afs087785_aice0330_afirn0550_aging30_060_20010402-20201010.nc,0.12998059340440807,-0.3582780704009907,163368,0.715082456538394,0.9977115615282889,63868,0.5495893620702026,-1.8333427713869601,0.831212284735152,-3.7002360160926306,1.0787178584868318,-2.168311627367521,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,1.1873,0.001,0.006542,log_profile,0.01,1.2,1,5,0.01,300.0,0.87785,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S02_ms0006553_mrrr9175_afs090013_aice0330_afirn0550_aging30_055_20010402-20201010.nc,0.13736026053519867,-0.5168892379960108,163368,0.5418958079842154,0.9960215322317127,63868,0.8669319626003815,-6.050055113965967,0.66042952825891,-1.967213012781575,0.9809444923873927,-1.6199983638400255,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,0.9175,0.001,0.006553,log_profile,0.01,1.2,1,5,0.01,300.0,0.90013,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S02_ms0006594_mrrr10532_afs088102_aice0330_afirn0550_aging30_144_20010402-20201010.nc,0.13058018056776322,-0.3708381681794053,163368,0.6440009316854716,0.9970208865018898,63868,0.6583515494069051,-3.0657269257396926,0.7449637799820006,-2.7754269842140165,0.9476057460017399,-1.4449361663129858,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,1.0532,0.001,0.006594,log_profile,0.01,1.2,1,5,0.01,300.0,0.88102,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S02_ms0006683_mrrr10206_afs087405_aice0330_afirn0550_aging30_150_20010402-20201010.nc,0.12793864812114988,-0.3159372272850516,163368,0.6503922505260902,0.9961581715584132,63868,0.7104599828583263,-3.7348009269922944,0.7078115382824132,-2.4082467995150036,0.9552443085970492,-1.4845118442152416,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,1.0206,0.001,0.006683,log_profile,0.01,1.2,1,5,0.01,300.0,0.87405,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S02_ms0006738_mrrr10573_afs090354_aice0330_afirn0550_aging30_027_20010402-20201010.nc,0.14051539642268598,-0.5873748101293907,163368,0.6022443972763972,0.9975323384656758,63868,0.6625648988925809,-3.117933514184383,0.7624024299371607,-2.9542516390688744,0.9296924034353439,-1.3533727396945086,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,1.0574,0.001,0.006738,log_profile,0.01,1.2,1,5,0.01,300.0,0.90354,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S02_ms0006749_mrrr11408_afs086638_aice0330_afirn0550_aging30_038_20010402-20201010.nc,0.12580390558763244,-0.2723890012998782,163368,0.7135690311305933,0.9971071450656348,63868,0.5808925266655134,-2.165294042272707,0.7795626442263707,-3.134260135128147,1.0102965678845501,-1.7791366983918846,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,1.1408,0.001,0.006749,log_profile,0.01,1.2,1,5,0.01,300.0,0.86638,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S02_ms0006811_mrrr8996_afs089152_aice0330_afirn0550_aging30_054_20010402-20201010.nc,0.13254938390507717,-0.4124955401608723,163368,0.549606636932459,0.9940609661635322,63868,0.9218723772204718,-6.971941187531745,0.604886351957617,-1.489105651917039,1.0727390072837832,-2.1332878855792274,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,0.8996,0.001,0.006811,log_profile,0.01,1.2,1,5,0.01,300.0,0.89152,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S02_ms0006901_mrrr10424_afs087072_aice0330_afirn0550_aging30_102_20010402-20201010.nc,0.12679910029511168,-0.2925995558565806,163368,0.6641537816743764,0.9960691862809443,63868,0.6969715971910939,-3.5567231405995337,0.707214686576792,-2.4025013146132417,0.9595869006144958,-1.5071526396533486,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,1.0424,0.001,0.006901,log_profile,0.01,1.2,1,5,0.01,300.0,0.87072,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S02_ms0006974_mrrr10951_afs088573_aice0330_afirn0550_aging30_022_20010402-20201010.nc,0.13250611652657796,-0.41157354410705027,163368,0.654397898181806,0.9971364991057298,63868,0.6340046184181218,-2.7705727536185694,0.7492160419729166,-2.818650355889003,0.9491434042408596,-1.452877288376289,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,1.0951,0.001,0.006974,log_profile,0.01,1.2,1,5,0.01,300.0,0.88573,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S02_ms0007080_mrrr8819_afs088941_aice0330_afirn0550_aging30_122_20010402-20201010.nc,0.13264530088056178,-0.4145405337439214,163368,0.5649035306106979,0.990798839749784,63868,0.9794879760235781,-7.999548049549695,0.5789603173567787,-1.2803071816223777,1.1698806187287045,-2.726449551004315,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,0.8819,0.001,0.00708,log_profile,0.01,1.2,1,5,0.01,300.0,0.88941,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S02_ms0007143_mrrr8228_afs090718_aice0330_afirn0550_aging30_082_20010402-20201010.nc,0.13810015992821903,-0.5332748827672005,163368,0.6010653251374332,0.97731212701116,63868,1.0943562515315446,-10.234142496728248,0.555923961277172,-1.1024542114198521,1.3460840673640824,-3.9335157787183377,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,0.8228,0.001,0.007143,log_profile,0.01,1.2,1,5,0.01,300.0,0.90718,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S02_ms0007147_mrrr10356_afs091178_aice0330_afirn0550_aging30_089_20010402-20201010.nc,0.14388081156032514,-0.6643222373591622,163368,0.5727670964407098,0.9973557993022188,63868,0.726144667595011,-3.946167128963359,0.7431454174589794,-2.7570187965791533,0.9159382423801805,-1.284254757329418,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,1.0356,0.001,0.007147,log_profile,0.01,1.2,1,5,0.01,300.0,0.91178,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S02_ms0007184_mrrr8380_afs091981_aice0330_afirn0550_aging30_139_20010402-20201010.nc,0.14369121158218942,-0.6599387821415874,163368,0.5896492521412794,0.9851281425397846,63868,1.0683428125485264,-9.706406954760853,0.5521740127628998,-1.074185941758972,1.2528563687815297,-3.2738052072743784,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,0.838,0.001,0.007184,log_profile,0.01,1.2,1,5,0.01,300.0,0.91981,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S02_ms0007221_mrrr11927_afs092528_aice0330_afirn0550_aging30_059_20010402-20201010.nc,0.15259135947869334,-0.8719383553064959,163368,0.6159942169287864,0.9983490495831155,63868,0.5667420820328225,-2.012960267132406,0.8691260881145858,-4.1387954616743095,1.0538535127322766,-2.0239363721866033,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,1.1927,0.001,0.007221,log_profile,0.01,1.2,1,5,0.01,300.0,0.92528,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S02_ms0007356_mrrr8385_afs09243_aice0330_afirn0550_aging30_134_20010402-20201010.nc,0.14553755836974883,-0.7028713064058862,163368,0.5789083072476645,0.9852236040885921,63868,1.083387324403781,-10.010067512525614,0.5511906494560683,-1.0668047102114868,1.259042944568915,-3.3161173207343184,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,0.8385,0.001,0.007356,log_profile,0.01,1.2,1,5,0.01,300.0,0.9243,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S02_ms0007358_mrrr9498_afs092064_aice0330_afirn0550_aging30_109_20010402-20201010.nc,0.1458926801433689,-0.7111916942556731,163368,0.5259271089028573,0.9961927930448838,63868,0.8797595806234353,-6.260231886458901,0.648006273325023,-1.8566312329118215,0.9682829617393663,-1.5527996618936957,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,0.9498,0.001,0.007358,log_profile,0.01,1.2,1,5,0.01,300.0,0.92064,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
