Time,f,d,t,t2,rh,ps,sw_in,sw_out,lw_in,lw_out,HS,Ts,Albedo_acc,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
28-May-2018 17:00:00,4.33383333333333,183.483333333333,4.06583333333333,4.41833333333333,57.725,878.99495,508.361833333333,329.426533333333,267.2691,329.2732,0,0,0.642081302239726,0,0,0,0.625102788836817
28-May-2018 18:00:00,2.5545,200.983333333333,4.27416666666667,4.06816666666667,58.3416666666667,879.83055,414.893116666667,272.678066666667,260.220133333333,329.6717,0,0,0.641187802644013,0,0,0,0.625102788836817
28-May-2018 19:00:00,3.5135,196.55,2.10016666666667,2.075,64.41,880.380483333333,155.488468333333,108.249401666667,261.438616666667,324.478116666667,0,0,0.63999898559973,0,0,0,0.625102788836817
28-May-2018 20:00:00,3.3085,183.75,1.581,1.614,72.5216666666667,880.75115,80.1147633333334,55.43873,293.062383333333,325.9944,0,0,0.640409658539605,0,0,0,0.625102788836817
28-May-2018 21:00:00,6.86183333333333,175.033333333333,1.3575,1.438,80.7816666666667,881.158566666667,33.2124233333333,24.0122333333333,309.7276,328.306166666667,0,0,0.641600720169976,0,0,0,0.625102788836817
28-May-2018 22:00:00,7.25966666666667,171.35,0.799333333333333,0.8635,88.8333333333333,881.171866666667,12.843841,10.8913126666667,265.108083333333,325.142866666667,0,0,0.644358904245174,0,0,0,0.625102788836817
28-May-2018 23:00:00,9.87116666666667,179.283333333333,0.625666666666667,0.647,90.6833333333333,880.935616666667,1.94579281666667,3.18275783333333,260.640316666667,324.740133333333,0,0,0.648254495380151,0,0,0,0.625102788836817
29-May-2018 00:00:00,12.7016666666667,197.05,0.9365,0.9515,90.1666666666667,880.76905,0.02016605,1.54151233333333,260.65855,325.945583333333,0,0,0.652502349548115,0,0,0,0.625102788836817
29-May-2018 01:00:00,13.6783333333333,201.05,1.26533333333333,1.2855,78.9,880.4438,0,1.34891366666667,261.50095,325.5188,0,0,0.656717515217078,0,0,0,0.625102788836817
29-May-2018 02:00:00,13.415,200.866666666667,0.899333333333333,0.911833333333333,66.65,880.640166666667,1.09886258333333,2.10717133333333,261.349283333333,321.919666666667,0,0,0.658877895400581,0,0,0,0.625102788836817
