Time,HS,HS_mod,HS_nor,HS_obs,lw_out,f,sw_in,lw_in,d,t,sw_out,rh,ps,Ts,Albedo_acc,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
01-Jan-2017 00:00:00,NaN,NaN,NaN,NaN,243.084986026224,7.86944078844608,0,166.263907332895,NaN,-15.094918784914,0,100,887.059382095641,NaN,0.807071063984666,0,0,0,0.807071063984666
01-Jan-2017 01:00:00,NaN,NaN,NaN,NaN,235.654437195078,5.10889745981929,0,167.300424729197,NaN,-17.057184948078,0,100,887.537025156134,NaN,0.80700861174272,0,0,0,0.80700861174272
01-Jan-2017 02:00:00,NaN,NaN,NaN,NaN,236.342979549728,6.19122431761338,0,165.804853903661,NaN,-16.880933578058,0,100,887.848753967344,NaN,0.806946159500774,0,0,0,0.806946159500774
01-Jan-2017 03:00:00,NaN,NaN,NaN,NaN,240.444498679254,5.22874186024008,0,189.174169319305,NaN,-15.668179186536,0,100,888.110655480399,NaN,0.806883707258829,0,0,0,0.806883707258829
01-Jan-2017 04:00:00,NaN,NaN,NaN,NaN,246.343693855144,3.96371715478208,0,207.088848688581,NaN,-14.034524698532,0,83.9388575678549,888.896928869018,NaN,0.806821255016883,0,0,0,0.806821255016883
01-Jan-2017 05:00:00,NaN,NaN,NaN,NaN,244.747930945028,3.12309553029249,0,218.972691773153,NaN,-14.386460142844,0,92.6910281221574,889.605309384966,NaN,0.806758802774937,0,0,0,0.806758802774937
01-Jan-2017 06:00:00,NaN,NaN,NaN,NaN,247.234027630835,2.89471222382556,0,225.463473206616,NaN,-13.709844885009,0,90.556988731192,889.399945953792,NaN,0.806696350532991,0,0,0,0.806696350532991
01-Jan-2017 07:00:00,NaN,NaN,NaN,NaN,251.813784104019,6.99514990786193,0,223.58093237695,NaN,-12.547436155315,0,81.0954434623433,889.036615042031,NaN,0.806633898291045,0,0,0,0.806633898291045
01-Jan-2017 08:00:00,NaN,NaN,NaN,NaN,250.865929866103,5.79131061958652,0,222.703443493945,NaN,-12.793200185469,0,87.7559085632007,889.017397339762,NaN,0.8065714460491,0,0,0,0.8065714460491
01-Jan-2017 09:00:00,NaN,NaN,NaN,NaN,260.477736132128,7.60713336405247,0,236.098444143341,NaN,-10.31029231661,0,87.9987255322785,888.840665795485,NaN,0.806508993807154,0,0,0,0.806508993807154
