Time,f,HS,HS_mod,HS_nor,HS_obs,lw_out,d,sw_in,lw_in,t,sw_out,rh,ps,Ts,Albedo_acc,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
01-Jan-1998 00:00:00,8.60009377684494,NaN,NaN,NaN,NaN,283.728068669226,NaN,0,272.064328461911,-4.56250854919699,NaN,100,825.83085180876,NaN,NaN,0,0,0,NaN
01-Jan-1998 01:00:00,10.036601096929,NaN,NaN,NaN,NaN,286.501104177297,NaN,0,294.644484666336,-3.81683897363496,NaN,92.8245491183987,824.735992001327,NaN,NaN,0.00062951461040393,0.000618960175752022,1.05544346519082e-05,NaN
01-Jan-1998 02:00:00,12.4830933821736,NaN,NaN,NaN,NaN,287.053564099466,NaN,0,271.587037680371,-3.795814092363,NaN,95.2523046507645,823.969063110404,NaN,NaN,0.00138006620629403,0.00132431592570697,5.57502805870627e-05,NaN
01-Jan-1998 03:00:00,10.7630770684789,NaN,NaN,NaN,NaN,286.884805006241,NaN,0,294.805420360245,-3.72778226138996,NaN,95.420007369413,823.054690838466,NaN,NaN,0.00182543002829198,0.00169362176328798,0.000131808265003997,NaN
01-Jan-1998 04:00:00,9.65999843056192,NaN,NaN,NaN,NaN,283.964770732667,NaN,0,250.108584874724,-4.60952236983195,NaN,98.8604715706257,822.697386923511,NaN,NaN,0.00101559037656205,0.000927869088186981,8.77212883750644e-05,NaN
01-Jan-1998 05:00:00,12.1774054979125,NaN,NaN,NaN,NaN,273.057503224799,NaN,0,238.736301606115,-7.23467174147999,NaN,100,822.690815838949,NaN,NaN,0,0,0,NaN
01-Jan-1998 06:00:00,9.49992913905918,NaN,NaN,NaN,NaN,263.517202678192,NaN,0,179.30778226139,-9.83987849821898,NaN,100,822.016592486374,NaN,NaN,0,0,0,NaN
01-Jan-1998 07:00:00,3.9046349216154,NaN,NaN,NaN,NaN,269.133038997727,NaN,0,277.845229508493,-7.98975818984496,NaN,100,822.260350317676,NaN,NaN,9.99999999999091e-06,0,9.99999999999091e-06,NaN
01-Jan-1998 08:00:00,5.26450965651865,NaN,NaN,NaN,NaN,264.780396350143,NaN,0,267.802530280826,-9.09553703134395,NaN,100,822.030872642605,NaN,NaN,8.58342686194646e-06,0,8.58342686194646e-06,NaN
01-Jan-1998 09:00:00,4.66793304344133,NaN,NaN,NaN,NaN,266.418492537362,NaN,0,271.005690771944,-8.68055727341596,NaN,100,821.751032500562,NaN,NaN,0,0,0,NaN
01-Jan-1998 10:00:00,6.15387224112214,NaN,NaN,NaN,NaN,268.024661162351,NaN,0,270.835554944715,-8.29158694371995,NaN,100,821.649782002254,NaN,NaN,0,0,0,NaN
01-Jan-1998 11:00:00,8.50258731991493,NaN,NaN,NaN,NaN,272.113027803788,NaN,0,258.367499098557,-7.36681551436897,NaN,98.2316397561917,821.74557873043,NaN,NaN,0,0,0,NaN
01-Jan-1998 12:00:00,8.19648039511584,NaN,NaN,NaN,NaN,274.051635426714,NaN,8.5480415406695,283.078592248065,-6.78573533760897,NaN,99.1280921591631,821.843004633019,NaN,NaN,1.05544346520219e-05,9.13786151409113e-06,1.41657313793076e-06,NaN
01-Jan-1998 13:00:00,9.11512199988267,NaN,NaN,NaN,NaN,275.68823309568,NaN,17.4116984231894,284.763277739114,-6.38897795749097,NaN,99.1982550169183,821.981967532727,NaN,NaN,1.08621384860044e-05,1.14165731379217e-05,0,NaN
01-Jan-1998 14:00:00,9.60260563683116,NaN,NaN,NaN,NaN,267.194384694259,NaN,18.5898722294116,181.092622683302,-8.92957230040798,NaN,100,821.788043312531,NaN,NaN,9.13786151397744e-06,0,9.13786151397744e-06,NaN
01-Jan-1998 15:00:00,7.6320980635449,NaN,NaN,NaN,NaN,259.452856437687,NaN,0,253.470310222281,-10.47830681009,NaN,100,821.658201800204,NaN,NaN,0,0,0,NaN
01-Jan-1998 16:00:00,8.07068222472537,NaN,NaN,NaN,NaN,253.912473038087,NaN,0,220.665487767647,-12.030289922094,NaN,100,821.521105872805,NaN,NaN,9.13786151500062e-06,0,9.13786151500062e-06,NaN
01-Jan-1998 17:00:00,8.63963860321323,NaN,NaN,NaN,NaN,275.767330041183,NaN,0,285.062729057586,-6.36881415292896,NaN,99.3841951726119,821.527286621032,NaN,NaN,8.58342686103697e-06,0,8.58342686103697e-06,NaN
01-Jan-1998 18:00:00,2.19402099376336,NaN,NaN,NaN,NaN,278.879526386875,NaN,0,289.200915788618,-5.61495479263999,NaN,100,821.619140733888,NaN,NaN,1.14165731390585e-05,1.85834268620511e-05,0,NaN
01-Jan-1998 19:00:00,1.65624017322917,NaN,NaN,NaN,NaN,274.745992648264,NaN,0,285.949042962676,-6.606943137923,NaN,100,821.456563532116,NaN,NaN,0,0,0,NaN
01-Jan-1998 20:00:00,2.56819711638976,NaN,NaN,NaN,NaN,277.765576740254,NaN,0,288.585640875317,-5.87997011404696,NaN,100,820.785231485574,NaN,NaN,6.85834268609824e-05,5.0862138485968e-05,1.77212883750144e-05,NaN
01-Jan-1998 21:00:00,3.76358674739645,NaN,NaN,NaN,NaN,278.843074017109,NaN,0,290.33849420555,-5.61817395325596,NaN,100,820.247259940712,NaN,NaN,0.000158028992210006,0.000137721288376042,2.03077038339643e-05,NaN
01-Jan-1998 22:00:00,3.72151316908132,NaN,NaN,NaN,NaN,276.374965994011,NaN,0,287.887420455477,-6.21158454920396,NaN,98.7028275236415,819.835926328299,NaN,NaN,0.000687619518603924,0.00062014496104598,6.74745575579436e-05,NaN
