Time,f,HS,HS_mod,HS_nor,HS_obs,lw_out,ps,d,sw_in,lw_in,t,t2,RN,sw_out,rh,Ts,Albedo_acc,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
24-Sep-2016 08:00:00,2.654,3.58748529411765,3.58748529411765,2.70748529411765,NaN,299.957077377437,854.705616666667,180.003333333333,99.2211683333333,310.538177985427,-0.6995,-0.441666666666667,NaN,86.3336329311888,98.05,NaN,0.870113045244047,0.000276449676289758,0.000197866249430035,7.85834268597228e-05,0.870113045244047
24-Sep-2016 09:00:00,2.06966666666667,3.5837794117647,3.5837794117647,2.7037794117647,NaN,302.566416496571,854.517,182.743333333333,122.71245,311.748526041772,-0.1155,0.0675,NaN,106.808081446901,98.1833333333333,NaN,0.870393195204734,0.000912357466370395,0.000752357466369858,0.000160000000000537,0.870393195204734
24-Sep-2016 10:00:00,3.09583333333333,3.58007352941176,3.58007352941176,2.70007352941177,NaN,302.918666961509,854.42,70.7403333333333,171.586166666667,309.259223487202,-0.0486666666666667,0.217666666666667,NaN,149.395501715778,97.9833333333333,NaN,0.87067334516542,0.00389947097488994,0.00287332376916015,0.00102614720572979,0.87067334516542
24-Sep-2016 11:00:00,2.86616666666667,3.57636764705883,3.57636764705883,2.69636764705882,NaN,303.247168641862,854.4137,32.6433333333333,244.26695,311.10239661778,0.032,0.483833333333333,NaN,582.0826,96.9666666666667,NaN,0.870953495126107,0.00203004603003001,0.00118476619606986,0.000845279833960149,0.870953495126107
24-Sep-2016 12:00:00,3.929,3.57266176470588,3.57266176470588,2.69266176470588,NaN,305.643152947997,854.351833333333,33.955,305.209616666667,313.860299187544,0.571333333333333,0.674333333333333,NaN,580.675633333333,96.2166666666667,NaN,0.871233645086793,0.00387954525321993,0.00286773175492999,0.00101181349828994,0.871233645086793
24-Sep-2016 13:00:00,4.524,3.56895588235294,3.56895588235294,2.68895588235294,NaN,306.266199676609,854.4563,48.0683333333333,285.7836,314.18345826364,0.709333333333333,0.9475,NaN,577.488883333333,95.9666666666667,NaN,0.87151379504748,0.00091906957332003,0.000319697529449968,0.000599372043870062,0.87151379504748
24-Sep-2016 14:00:00,4.74333333333333,3.56525,3.56525,2.68525,NaN,307.037976526792,854.456216666667,54.4116666666667,213.340033333333,316.149422106082,0.886833333333333,1.17716666666667,NaN,577.915491287879,96.55,NaN,0.871793945008167,0.00155149980430997,0.000937957552629996,0.000613542251679974,0.871793945008167
24-Sep-2016 15:00:00,4.90316666666667,3.56154411764706,3.56154411764706,2.68154411764706,NaN,306.811881520441,854.476716666667,54.0416666666667,156.788066666667,317.431898992339,0.843,1.15866666666667,NaN,578.736404166667,97.1666666666667,NaN,0.872074094968853,0.000387283566469705,3.87461696500395e-05,0.000348537396819665,0.872074094968853
24-Sep-2016 16:00:00,4.22866666666667,3.56333333333333,3.56333333333333,2.68333333333333,NaN,307.068396537859,854.693933333333,48.36,116.494658333333,318.554805215843,0.904,1.09766666666667,NaN,579.481499621212,97.7,NaN,0.87235424492954,0.000282410367350167,7.08286569010852e-06,0.000275327501660058,0.87235424492954
24-Sep-2016 17:00:00,3.9205,3.57483333333333,3.57483333333333,2.69483333333333,NaN,306.477911018872,854.909083333333,47.1333333333333,70.40346,320.114934477051,0.781666666666667,0.939666666666667,NaN,580.226595075758,98.3,NaN,0.872634394890227,0.000154015537059877,0,0.000154015537059877,0.872634394890227
24-Sep-2016 18:00:00,4.46783333333333,3.5805,3.5805,2.7005,NaN,306.370174506758,855.2793,51.935,34.46936,320.705141299606,0.760666666666667,0.847,NaN,580.971690530303,98.7166666666667,NaN,0.872914544850913,0.000123219604859969,0,0.000123219604859969,0.872914544850913
24-Sep-2016 19:00:00,3.99933333333333,3.58366666666667,3.58366666666667,2.70366666666667,NaN,306.369262674178,855.891266666667,53.1833333333333,1.27473815,320.788796988718,0.760833333333333,0.793833333333334,NaN,581.716785984849,99.1333333333333,NaN,0.8731946948116,0.000285134116060362,0,0.000285134116060362,0.8731946948116
24-Sep-2016 20:00:00,3.75033333333333,3.58866666666667,3.58866666666667,2.70866666666667,NaN,305.359290890837,856.226,43.2466666666667,0,319.736318457106,0.534833333333333,0.5605,NaN,582.374953636364,99.2,NaN,0.873474844772286,0.000185762829039959,0,0.000185762829039959,0.873474844772286
24-Sep-2016 21:00:00,3.2825,3.599,3.599,2.719,NaN,305.202177681468,856.341316666667,38.9383333333333,0.000201665666666667,319.695728903221,0.500166666666667,0.537,NaN,0.000176206383516155,99.2333333333333,NaN,0.873754994732973,0.000109999999999673,0,0.000109999999999673,0.873754994732973
24-Sep-2016 22:00:00,2.75,3.611,3.611,2.731,NaN,304.812246044912,856.4782,34.3033333333333,0.00282330535326833,319.692328773832,0.4145,0.455333333333333,NaN,0.00246766810295827,99.2833333333333,NaN,0.87403514469366,0.000113387580930066,0,0.000113387580930066,0.87403514469366
