Time,f,HS,HS_mod,HS_nor,HS_obs,lw_out,ps,d,sw_in,lw_in,t,t2,sw_out,rh,Ts,Albedo_acc,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
11-May-2017 01:00:00,9.32166666666667,0.7399,NaN,NaN,NaN,308.583333333333,917.625183333333,21.2866666666667,0,303.266666666667,-3.56683333333333,-0.247666666666667,0,99.7861111111111,-1.5028550176544,0.710099611361345,0.000327724023919927,0.000321586035880046,6.13798803988176e-06,0.347690900791119
11-May-2017 02:00:00,9.25833333333333,0.7399,NaN,NaN,NaN,307.966666666667,917.211333333333,20.6183333333333,0,302.5,-3.63233333333333,-0.391,0,99.6666666666667,-1.63755484630784,0.707594358296729,0.000355395849680008,0.000310136177489994,4.52596721900136e-05,0.344442693971416
11-May-2017 03:00:00,8.85166666666667,0.7399,NaN,NaN,NaN,307.566666666667,916.86475,16.43,0.371333333333333,302.933333333333,-3.69116666666667,-0.466833333333333,0.389,99.6166666666667,-1.73139829352144,0.707658776247591,0.000293308249250003,0.000297808003269893,0,0.341194487151713
11-May-2017 04:00:00,9.18166666666667,0.7399,NaN,NaN,NaN,307.283333333333,916.57955,15.39,6.457,303.066666666667,-3.67266666666667,-0.5455,4.5835,99.5166666666667,-1.79673591702633,0.708769699787391,0.000248564143009844,0.000227978599100197,2.05855439096468e-05,0.33794628033201
11-May-2017 05:00:00,9.035,0.7399,NaN,NaN,NaN,306.833333333333,916.419316666667,11.7233333333333,25.4783333333333,303.133333333333,-3.73016666666667,-0.646166666666667,18.1083333333333,99.3,-1.8996270426357,0.709477995166576,7.77380253002775e-05,6.55142473799515e-05,1.2223777920326e-05,0.334698073512307
11-May-2017 06:00:00,8.50166666666667,0.7399,NaN,NaN,NaN,306.783333333333,916.291583333334,10.8496666666667,61.6683333333333,302.15,-3.6645,-0.612,44.145,99.2,-1.90429400511235,0.710255817940411,2.66853351899954e-05,2.49287034598638e-05,1.75663173013163e-06,0.331449866692604
11-May-2017 07:00:00,7.98683333333333,0.7399,NaN,NaN,NaN,306.383333333333,916.14145,16.955,114.866666666667,300.35,-3.52033333333333,-0.4185,82.7066666666667,99.0666666666667,-1.98315406788849,0.709795415914723,3.57548211700305e-05,3.90834873801396e-05,0,0.328201659872901
11-May-2017 08:00:00,7.72066666666667,0.7399,NaN,NaN,NaN,305.05,916.158983333333,22.7416666666667,193.983333333333,298.4,-3.4195,-0.299333333333333,139.95,98.8166666666667,-2.27441169141946,0.709507974893358,0.000160669523249908,0.000144583733359923,1.60857898899849e-05,0.324953453053198
11-May-2017 09:00:00,8.6825,0.7399,NaN,NaN,NaN,304.016666666667,916.03215,19.4383333333333,260.366666666667,298.5,-3.51383333333333,-0.365333333333333,187.1,98.4166666666667,-2.51156717338283,0.709692034195593,7.25687480398847e-05,7.2568748040112e-05,0,0.321705246233495
11-May-2017 10:00:00,9.09,0.7399,NaN,NaN,NaN,303.283333333333,915.9086,17.8166666666667,356.3,297.733333333333,-3.37933333333333,-0.1885,252.816666666667,98.0166666666667,-2.6745978504519,0.709711341715642,1.19310059799318e-05,3.83617659699667e-05,0,0.318457039413792
11-May-2017 11:00:00,9.575,0.7399,NaN,NaN,NaN,303.566666666667,915.5861,21.375,369.616666666667,297.233333333333,-3.25166666666667,-0.116833333333333,261.066666666667,97.7,-2.60616326518746,0.709681506512774,5.42069820603501e-05,4.77762220698423e-05,6.4307599905078e-06,0.315208832594089
