Time,f,HS,HS_mod,HS_nor,HS_obs,lw_out,d,sw_in,lw_in,t,t2,sw_out,rh,Ts,Albedo_acc,ps,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
01-Jan-2005 00:00:00,22.684,2.053,NaN,NaN,NaN,316.241525423729,251.64,0,296.420987038883,-6.8972,-6.817,0,96.14,0,0.728180899077518,877.498802689362,0,0,0,0.728180899077518
01-Jan-2005 01:00:00,20.7366666666667,1.48272222222222,NaN,NaN,NaN,315.686523762047,241.733333333333,0,270.621718178797,-7.73833333333333,-7.60333333333333,0.110501827849784,93.7666666666667,0,0.728065429251629,876.487522812854,0,0,0,0.728065429251629
01-Jan-2005 02:00:00,15.6383333333333,0.228111111111111,NaN,NaN,NaN,312.579179129279,263.3,0,240.41234629445,-8.17666666666667,-7.955,0.475074775672981,85.3666666666667,-0.204606391471467,0.755221027602872,876.958519025461,0,0,0,0.72794995942574
01-Jan-2005 03:00:00,16.9566666666667,0,NaN,NaN,NaN,311.56555333998,260.933333333333,0,225.241193087404,-9.28833333333333,-9.00166666666667,0.585576603522766,80.5166666666667,-0.303791841913238,0.743240119711133,879.007788639704,9.82573696709892e-05,0.000107964597718023,0,0.727834489599852
01-Jan-2005 04:00:00,16.4233333333333,0,NaN,NaN,NaN,310.98396477235,259.35,0,225.706463941509,-9.22833333333333,-8.96166666666667,0.607510800930542,80.8833333333333,-0.437205172176012,0.760673312018055,880.670345070872,0.00051282710164503,0.000503119873597996,9.70722804703424e-06,0.727719019773963
01-Jan-2005 05:00:00,12.1183333333333,0,NaN,NaN,NaN,307.029162512463,262.55,0,220.688185443669,-8.89,-8.59166666666667,0.541209704220671,69.27,-1.29410348046329,0.765365415961381,880.701882432268,5.22237779319994e-05,6.83617659740037e-05,0,0.727603549948074
01-Jan-2005 06:00:00,12.3683333333333,0,NaN,NaN,NaN,309.521684945164,242.283333333333,0,224.210950481888,-10.755,-10.4783333333333,0.574609504818877,75.97,-0.756201818737385,0.766799495329446,880.920904214993,0,0,0,0.727488080122185
01-Jan-2005 07:00:00,12.2616666666667,NaN,NaN,NaN,NaN,307.677218344965,266.816666666667,0,224.60975407112,-9.36166666666667,-9.105,0.574443336656697,75.6166666666667,-1.17401566942436,0.767451883894426,881.751704164468,0,0,0,0.727372610296297
01-Jan-2005 08:00:00,13.315,NaN,NaN,NaN,NaN,308.341890993685,273.566666666667,0,223.396726487205,-9.46333333333333,-9.21666666666667,0.463941508806913,75.0333333333333,-1.01559908729055,0.770057519904708,881.988051853607,0,0,0,0.727257140470408
01-Jan-2005 09:00:00,12.6033333333333,NaN,NaN,NaN,NaN,309.023180458624,276.616666666667,0,226.437603855101,-9.845,-9.62,0.563476237952808,77.9666666666667,-0.882634640113858,0.770970472070716,882.688871628168,0,0,0,0.727141670644519
