Time,HS,HS_mod,HS_nor,HS_obs,lw_out,f,d,sw_in,lw_in,t,sw_out,rh,ps,Ts,Albedo_acc,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
24-Jun-2019 00:00:00,181.316666666667,NaN,NaN,NaN,313.463716666667,7.1625,179.2,0.75663659,269.043366666667,3.14233333333333,0.988617133333333,80.8666666666667,931.095883333333,-0.183307245825754,0.0908232730623836,0,0,0,0.123905105307496
24-Jun-2019 01:00:00,181.4,NaN,NaN,NaN,313.401516666667,7.16933333333333,185.1,0.12300528,268.0427,2.84866666666667,1.01593486666667,78.495,931.208866666667,-0.180327297725891,0.0912498433912492,0,0,0,0.123916907249277
24-Jun-2019 02:00:00,181.466666666667,NaN,NaN,NaN,313.1828,6.36533333333333,182.033333333333,2.53970155,266.547966666667,2.21283333333333,1.22013256666667,78.9133333333333,931.355016666667,-0.228380807452292,0.0916277536675178,0,0,0,0.123928709191057
24-Jun-2019 03:00:00,181.616666666667,NaN,NaN,NaN,317.115916666667,2.2935,244.283333333333,26.146944,272.269866666667,3.8135,3.498249,76.9466666666667,931.911966666667,-0.0197682458704378,0.0915762756446403,0,0,0,0.123940511132838
24-Jun-2019 04:00:00,181.816666666667,NaN,NaN,NaN,311.904066666667,1.68766666666667,233.433333333333,86.912855,270.1577,3.19516666666667,6.64799133333333,80.27,932.136366666667,-0.690419579032795,0.0911613240585473,0,0,0,0.123952313074619
24-Jun-2019 05:00:00,181.8,NaN,NaN,NaN,311.401683333333,2.66116666666667,161.416666666667,152.270925,279.177816666667,2.61033333333333,12.326723,83.7916666666667,932.2179,-0.70390702767481,0.0902628923140798,0,0,0,0.1239641150164
24-Jun-2019 06:00:00,182.183333333333,NaN,NaN,NaN,311.355933333333,2.5825,152.883333333333,136.46265,280.5601,2.49966666666667,9.87061333333333,84,932.3385,-0.723691290941285,0.0890283909115674,0,0,0,0.12397591695818
24-Jun-2019 07:00:00,182.366666666667,NaN,NaN,NaN,307.26375,3.08483333333333,168.233333333333,297.360595,263.24245,2.096,22.8450335,85.0833333333333,932.612783333333,-1.53205347793324,0.088314631333493,0,0,0,0.123987718899961
24-Jun-2019 08:00:00,182.016666666667,NaN,NaN,NaN,303.0927,3.47816666666667,172,497.62715,279.5261,2.50033333333333,39.725465,85.1666666666667,933.023466666667,-2.5937936003775,0.0877703881084904,0,0,0,0.123999520841742
24-Jun-2019 09:00:00,182.333333333333,NaN,NaN,NaN,304.211016666667,2.21316666666667,220.283333333333,519.38575,298.923666666667,4.14816666666667,39.841515,78.1866666666667,933.18025,-2.47178401278495,0.0863909087424871,0,0,0,0.124011322783522
24-Jun-2019 10:00:00,182.116666666667,NaN,NaN,NaN,297.178383333333,3.80033333333333,168.066666666667,694.906916666667,257.281683333333,2.76483333333333,55.4476733333333,84.15,933.233983333333,-3.81187106391337,0.0855066159301551,0,0,0,0.124023124725303
24-Jun-2019 11:00:00,189.3,NaN,NaN,NaN,303.317333333333,4.7505,172.7,761.809516666667,265.74035,2.97166666666667,62.009945,81.6033333333333,933.74465,-2.44663037535547,0.0853976210820961,0,0,0,0.124034926667084
