Time,f,HS,HS_mod,HS_nor,HS_obs,lw_out,d,sw_out,lw_in,t,sw_in,rh,Ts,Albedo_acc,ps,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
01-Jan-2010 00:00:00,4.34466666666667,1.934,1.076,0.436,1.12,294.567993795243,195.733333333333,0.544639779386418,244.063350119964,-18.7783333333333,0.270251637366425,86.3,NaN,0.640750525621104,929.063104056221,0,0,0,0.640750525621104
01-Jan-2010 01:00:00,4.27483333333333,1.93633333333333,1.07366666666667,0.433666666666667,NaN,301.117459496725,210.7,0.706308169596691,178.872853608544,-17.1616666666667,0.0132712857635298,86.6,NaN,0.456854944442623,928.81640498905,0,0,0,0.640867166310061
01-Jan-2010 02:00:00,2.9185,1.93516666666667,1.07483333333333,0.434833333333333,NaN,285.433212685281,201.55,0.244398483281626,179.58715740109,-17.035,0.073250603240262,87.2166666666667,NaN,0.417927439376863,928.476705017713,0,0,0,0.640983806999017
01-Jan-2010 03:00:00,3.94566666666667,1.93283333333333,1.07716666666667,0.437166666666667,NaN,290.638314374353,207.183333333333,0.650982419855222,179.71994894312,-17.7366666666667,0.112719751809721,86.35,NaN,0.42715303753988,928.18506483539,0,0,0,0.641100447687973
01-Jan-2010 04:00:00,3.83383333333333,1.934,1.076,0.436,NaN,289.225008617718,205.3,0.476904515684248,179.693933131189,-17.4233333333333,0.0355049982764563,83.85,NaN,0.439665693420948,927.775582977301,0,0,0,0.64121708837693
01-Jan-2010 05:00:00,3.36833333333333,1.92483333333333,1.08516666666667,0.445166666666667,NaN,269.369786280593,209.8,0.0586004825922097,179.002050544941,-21.1983333333333,0,81.5666666666667,NaN,0.44279901656534,927.380981237105,0,0,0,0.641333729065887
01-Jan-2010 06:00:00,5.32683333333333,1.92133333333333,1.08866666666667,0.448666666666667,NaN,271.627628403998,196.15,0.357807652533609,178.719896744968,-22.14,0,80.7333333333333,NaN,0.444920264187973,927.037605157437,0,0,0,0.641450369754843
01-Jan-2010 07:00:00,4.86566666666667,1.91983333333333,1.09016666666667,0.450166666666667,NaN,275.257411237504,193.45,0.269045156842468,178.598555061315,-23.0416666666667,0,79.5,NaN,0.449024448594156,927.105065277772,0,0,0,0.6415670104438
01-Jan-2010 08:00:00,4.09533333333333,1.9195,1.0905,0.4505,NaN,277.279127886936,215.016666666667,0.485522233712512,178.575222616691,-22.4383333333333,0,81.25,NaN,0.451682626811714,927.349309696752,0,0,0,0.641683651132756
01-Jan-2010 09:00:00,4.368,1.91666666666667,1.09333333333333,0.453333333333333,NaN,271.248448810755,206.2,0.311099620820407,178.376874852105,-23.5983333333333,0,79.6,NaN,0.455585164707368,927.817312799108,0,0,0,0.641800291821713
01-Jan-2010 10:00:00,4.14083333333333,1.9155,1.0945,0.4545,NaN,274.168131678731,212.983333333333,1.30506721820062,177.922964420415,-23.05,0.771458117890384,83.1833333333333,NaN,0.460158892602954,928.147079123481,0,0,0,0.641916932510669
01-Jan-2010 11:00:00,3.385,1.91516666666667,1.09483333333333,0.454833333333333,NaN,277.308428128232,211.15,7.64046880386074,179.278105694907,-22.5583333333333,11.266459841434,82.3166666666667,NaN,0.465404641179168,928.353755765301,0,0,0,0.642033573199626
