Time,f,d,t,t2,rh,ps,sw_in,sw_out,lw_in,lw_out,HS,HS2,Ts,Albedo_acc,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
13-Oct-2022 23:00:00,1.45366666666667,5.15766666666667,-12.0266666666667,-12.14,99.5,822.481283333333,1.33729583333333,1.51417316666667,260.297183333333,262.766866666667,217.716666666667,0,-12.2221141253514,0.914476119432215,0,0,0,0.787508656657353
14-Oct-2022 00:00:00,1.61466666666667,5.16916666666667,-9.935,-10.0083333333333,99.5,822.109283333333,0.75875765,0.66590085,271.730233333333,271.8143,109.35,0,-10.0185572735711,0.787975425716867,0,0,0,0.787975425716867
14-Oct-2022 01:00:00,1.41216666666667,5.17566666666667,-9.555,-9.585,99.5,821.757016666667,0.235258588333333,0.259564533333333,273.0552,273.402466666667,73,0,-9.63286733597292,0.788442194776379,0,0,0,0.788442194776379
14-Oct-2022 02:00:00,1.51683333333333,5.17,-9.44,-9.47166666666667,99.5,821.420683333333,0.0884255616666667,0.283927965,270.271916666667,273.855783333333,109.3,0,-9.4996088379165,0.788908963835892,0.000231016724857628,0.000231016724857628,0,0.788908963835892
14-Oct-2022 03:00:00,1.58883333333333,5.18,-9.06166666666667,-9.08166666666667,99.5,821.13975,0.101736916666667,0.207245551666667,272.49545,275.595433333333,72.4333333333333,0,-9.08569062271509,0.789375732895406,0,0,0,0.789375732895406
14-Oct-2022 04:00:00,1.556,5.1935,-8.59166666666667,-8.66,99.5,820.888216666667,0.131483765,0.34124455,276.213433333333,277.641883333333,0,0,-8.60947428361877,0.789842501954919,8.1016724857538e-05,8.1016724857538e-05,0,0.789842501954919
14-Oct-2022 05:00:00,1.55716666666667,5.1945,-8.27166666666667,-8.305,99.5,820.750916666667,0.0676435166666667,0.158830988333333,278.794,278.995616666667,0,0,-8.29633034194689,0.969563301667276,0,0,0,0.790309271014432
14-Oct-2022 06:00:00,1.373,5.17783333333333,-8.525,-8.54666666666667,99.5,820.72105,0.008285675,0.103388016666667,276.89835,278.095266666667,0,0,-8.50299603807338,0.946305900124579,0,0,0,0.790776040073945
14-Oct-2022 07:00:00,1.39183333333333,5.156,-8.60333333333333,-8.65,99.5,820.766966666667,0.394451116666667,0.682488666666667,276.854116666667,277.769283333333,72.3666666666667,0,-8.58262117483416,0.943679548278974,0,0,0,0.791242809133458
14-Oct-2022 08:00:00,1.1485,5.153,-8.75,-8.78,99.5,820.91765,8.69734666666667,8.94981566666667,275.921233333333,277.030983333333,145.466666666667,0,-8.75713813555685,0.94276692542679,0,0,0,0.791709578192971
14-Oct-2022 09:00:00,1.0405,5.1295,-8.82666666666667,-8.85166666666667,99.5,821.142483333333,30.6941266666667,28.4337483333333,275.3166,276.667683333333,36.3833333333333,0,-8.8421381806551,0.942050900594817,5.00000000001819e-05,5.00000000001819e-05,0,0.792176347252484
14-Oct-2022 10:00:00,1.02983333333333,5.1325,-8.28166666666667,-8.24583333333333,99.4166666666667,821.15175,97.4466833333333,86.2653583333333,277.48945,278.4138,36.1,0,-8.429642061599,0.941558564827671,0,0,0,0.792643116311997
14-Oct-2022 11:00:00,0.998,5.1305,-7.87866666666667,-7.7595,99.3666666666667,821.31535,136.2952,127.044833333333,279.3388,279.725633333333,143.95,0,-8.12196614958436,0.940760391422991,0,0,0,0.79310988537151
14-Oct-2022 12:00:00,0.879,5.18633333333333,-7.454,-7.2095,99.4166666666667,821.450416666667,175.79105,163.035183333333,278.969283333333,280.768883333333,216.583333333333,0,-7.8648632476471,0.940781660434893,1.89832751423715e-05,1.89832751423715e-05,0,0.793576654431023
14-Oct-2022 13:00:00,6.43666666666667,25.805,-7.11383333333333,-7.0535,99.25,821.5373,190.89005,175.029466666667,275.3024,280.76005,214.766666666667,0,-7.84029906416536,0.940918897650908,3.23300752439166e-05,3.23300752439166e-05,0,0.794043423490536
14-Oct-2022 14:00:00,5.82283333333333,21.9733333333333,-7.18033333333333,-7.08116666666667,99.4833333333333,821.4272,112.367825,108.858201666667,275.786783333333,281.877033333333,214.8,0,-7.57244268939046,0.941419678113945,4.8686649613621e-05,4.8686649613621e-05,0,0.794510192550049
14-Oct-2022 15:00:00,6.2585,24.2766666666667,-6.96133333333333,-6.9935,99.4,821.433,110.315305,107.082343333333,273.813633333333,282.787033333333,215,0,-7.33745341616217,0.941864239638422,0,0,0,0.794976961609562
14-Oct-2022 16:00:00,6.48766666666667,25.2733333333333,-6.97533333333333,-7.14666666666667,99.4333333333333,821.506533333333,65.15413,65.5853216666667,270.850166666667,282.972183333333,215.183333333333,0,-7.2711655706635,0.942255853989842,4.9999999999955e-05,4.9999999999955e-05,0,0.795443730669075
14-Oct-2022 17:00:00,6.12033333333333,29.99,-7.20766666666667,-7.3435,99.5166666666667,821.614166666667,17.8322066666667,18.0645931666667,275.721116666667,282.960633333333,215.566666666667,0,-7.30925990318925,0.942787785952341,0,0,0,0.795910499728588
14-Oct-2022 18:00:00,6.273,29.8216666666667,-7.618,-7.68366666666667,99.5333333333333,822.124183333333,0.704593363333333,0.698658333333333,276.500366666667,281.725133333333,215.566666666667,0,-7.61433190363851,0.943088100922475,0,0,0,0.796377268788101
14-Oct-2022 19:00:00,6.49233333333333,27.0516666666667,-7.51733333333333,-7.56066666666667,99.55,822.46515,0.289509366666667,0.12240768,279.621366666667,282.07425,215.783333333333,0,-7.552363985782,0.943307243111104,1.89832751423715e-05,1.91674995889653e-05,0,0.796844037847615
14-Oct-2022 20:00:00,6.40766666666667,27.19,-7.46383333333333,-7.49816666666667,99.5666666666667,822.380783333333,0.165940883333333,0.0740075816666667,281.376683333333,282.386033333333,214.616666666667,0,-7.48947206418984,0.943851032360746,0,5.28857268184307e-06,0,0.797310806907128
14-Oct-2022 21:00:00,5.51016666666667,31.3116666666667,-7.738,-7.73233333333333,99.55,822.364633333333,0.1212622,0.000468436833333333,280.061116666667,281.615933333333,208.983333333333,0,-7.66706946914331,0.94468391929522,0,0,0,0.797777575966641
14-Oct-2022 22:00:00,4.4565,22.6933333333333,-8.515,-8.545,99.5,822.424566666667,0.00407431,0.160201952833333,275.141883333333,277.941966666667,212.766666666667,0,-8.52766986532565,0.941589182307803,0,0,0,0.798244345026154
14-Oct-2022 23:00:00,5.25666666666667,10.7146666666667,-8.62,-8.68666666666667,99.5,822.290483333333,0,0.27627305,274.705433333333,277.414866666667,214.05,0,-8.65391963685582,0.956905753873733,5.00000000001819e-05,4.97896437530852e-05,2.10356247096662e-07,0.798711114085667
15-Oct-2022 00:00:00,5.01283333333333,12.6116666666667,-8.985,-8.88666666666667,99.6,822.081433333333,0,0.0821485333333333,272.094566666667,276.233266666667,216.416666666667,0,-8.92627439173537,0.9722833346927,0,0,0,0.79917788314518
15-Oct-2022 01:00:00,5.17316666666667,11.34,-10.1116666666667,-9.97166666666667,99.7,821.677016666667,0,0.512725483333333,260.99525,271.25105,216.166666666667,0,-10.0784857056765,0.993712911025095,0,0,0,0.799644652204693
15-Oct-2022 02:00:00,5.63466666666667,10.1533333333333,-10.0316666666667,-9.91833333333333,99.6333333333333,821.235033333333,0,0.6218924,262.230233333333,271.56535,216.933333333333,0,-10.0093058599961,0.800111421264206,0,0,0,0.800111421264206
15-Oct-2022 03:00:00,5.72183333333333,9.48666666666667,-10.2833333333333,-10.15,99.7,820.999016666667,0,0.482427333333333,261.666266666667,270.792483333333,216.566666666667,0,-10.1985160792241,0.800578190323719,0,0,0,0.800578190323719
15-Oct-2022 04:00:00,6.06033333333333,9.47,-9.79666666666667,-9.70666666666667,99.7,820.7552,0,0.721220266666667,265.904616666667,272.51395,216.5,0,-9.80075542048166,0.801044959383232,0,0,0,0.801044959383232
15-Oct-2022 05:00:00,6.43816666666667,5.55266666666667,-9.63833333333333,-9.53666666666667,99.7,820.643133333333,0,0.37950745,267.5754,273.296533333333,216.433333333333,0,-9.61821574818663,0.801511728442745,0,0,0,0.801511728442745
15-Oct-2022 06:00:00,6.42166666666667,2.73616666666667,-9.72833333333333,-9.62166666666667,99.7,820.769483333333,0,0.303137433333333,267.03235,273.212916666667,216.35,0,-9.63510532331936,0.801978497502258,0,0,0,0.801978497502258
15-Oct-2022 07:00:00,6.51066666666667,120.996833333333,-9.95833333333333,-9.86666666666667,99.7,821.058283333333,0.0516155,0.873960383333333,261.665183333333,272.169133333333,216.433333333333,0,-9.85451273628865,0.802445266561771,0,0,0,0.802445266561771
15-Oct-2022 08:00:00,6.39966666666667,353.616666666667,-9.50333333333333,-9.43666666666667,99.7,821.329316666667,8.71364583333333,9.753808,268.2285,273.770366666667,215.4,0,-9.50581867173735,0.802912035621284,1.76699247561182e-05,1.56781363033832e-05,1.99178845273501e-06,0.802912035621284
15-Oct-2022 09:00:00,6.66916666666667,351.216666666667,-9.13333333333333,-9.12,99.5833333333333,821.6898,55.824195,49.1657366666667,270.1257,275.6507,215.8,0,-9.05440361388632,0.803378804680797,0,0,0,0.803378804680797
15-Oct-2022 10:00:00,6.4285,351.433333333333,-8.1445,-8.16,99.6,822.0684,67.89869,72.87792,275.641266666667,279.387033333333,213.633333333333,0,-8.17817055780093,0.80384557374031,0,0,0,0.80384557374031
