Time,f,HS,HS_mod,HS_nor,HS_obs,lw_out,d,sw_in,lw_in,t,sw_out,rh,Ts,Albedo_acc,ps,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
05-Aug-2010 21:00:00,1.0265,2.53733333333333,3.45033333333333,2.66033333333333,NaN,309.687853107344,172.533333333333,11.8803589232303,253.473163841808,0.226,8.61349285476904,98.9738095238095,-0.929856247442624,0.4783575703036,839.95725554498,0,0,0,0.539075656450783
05-Aug-2010 22:00:00,0.948,2.53916666666667,3.45216666666667,2.66216666666667,NaN,314.257477567298,177.366666666667,1.27982718511133,303.78888334995,0.0455,0.81655034895314,98.9809523809524,-0.232021469198599,0.480273674418112,840.009357482901,0,0,0,0.538270542441298
05-Aug-2010 23:00:00,0.7545,2.541,3.454,2.664,NaN,312.346543702226,136.71,0,271.884596211366,-0.174,1.33532735127949,100,-0.442246632676159,0.481188339466944,840.037205254214,0,0,0,0.537465428431814
06-Aug-2010 00:00:00,2.35816666666667,2.541,3.454,2.664,NaN,313.542954469923,335.816666666667,0,288.036141575274,-0.598833333333333,0.695247590561649,100,-0.282943254333806,0.482394983617103,840.119444494327,0,0,0,0.536660314422329
06-Aug-2010 01:00:00,2.19433333333333,2.54066666666667,3.45366666666667,2.66366666666667,NaN,313.376786307743,16.605,0,292.256812894649,-0.571,0.662013958125624,100,-0.348472198055779,0.482223061255608,840.17005952842,0,0,0,0.536812192064103
06-Aug-2010 02:00:00,2.123,2.538,3.451,2.661,NaN,313.094300432037,174.925333333333,0,303.755649717514,-0.999833333333333,0.496842804918579,100,-0.488996237582048,0.481345818941364,840.246352340387,0,0,0,0.536964069705876
06-Aug-2010 03:00:00,2.55816666666667,2.5425,3.4555,2.6655,NaN,313.094300432037,288.481666666667,0,311.050432037222,-1.02816666666667,0.640245928880028,100,-0.538234192913194,0.483120098573084,840.171311054755,0,0,0,0.53711594734765
06-Aug-2010 04:00:00,2.71366666666667,2.54058333333333,3.45358333333333,2.66358333333333,NaN,314.706131605184,282.368333333333,7.16367563974744,313.858673978066,-1.19366666666667,7.58391492190096,100,-0.195933557131336,0.480611536229637,840.107530295837,0,0,0,0.537267824989423
06-Aug-2010 05:00:00,2.25683333333333,2.54691666666667,3.45991666666667,2.66991666666667,NaN,313.49310402127,336.183333333333,74.313725490196,312.678880026587,-1.28116666666667,56.6151545363908,98.46,-0.459750060095454,0.482048070927633,840.061903486194,0,0,0,0.537419702631197
06-Aug-2010 06:00:00,2.0545,2.5425,3.4555,2.6655,NaN,305.566882685278,341.2,147.939514788966,286.324609504819,-0.332166666666667,107.710202725158,94.0333333333333,-2.07630925685488,0.483650410290093,840.047502452695,0,0,0,0.53757158027297
06-Aug-2010 07:00:00,1.8125,2.53633333333333,3.44933333333333,2.65933333333333,NaN,294.284064473247,196.39,202.492522432702,229.312313060817,0.639166666666667,156.895978730475,90.25,-4.2886654004013,0.484024953923785,840.3606074569,0,0,0,0.537723457914743
06-Aug-2010 08:00:00,1.54416666666667,2.52533333333333,3.43833333333333,2.64833333333333,NaN,285.028497839814,70.8783333333333,312.844798936524,219.807494184114,2.13916666666667,192.206713193752,85.5833333333333,-6.40773249837503,0.484571684805896,840.497730218762,0,0,0,0.537875335556517
06-Aug-2010 09:00:00,1.6285,2.52833333333333,3.44133333333333,2.65133333333333,NaN,288.285393818544,80.1565,365.71950814224,246.809820538385,1.59216666666667,194.001329345297,89.75,-5.82432816892654,0.484157580443939,840.868081503758,0,0,0,0.53802721319829
06-Aug-2010 10:00:00,1.79033333333333,2.52483333333333,3.43783333333333,2.64783333333333,NaN,289.996925889,138.886666666667,408.590893984713,280.159770687936,1.15166666666667,196.111665004985,95.3,-5.65588502528565,0.483716370534108,841.131282003158,0,0,0,0.538179090840064
06-Aug-2010 11:00:00,1.08983333333333,2.52666666666667,3.43966666666667,2.64966666666667,NaN,281.544326697327,34.455,621.751412429379,221.784895314058,2.42933333333333,283.200398803589,89.4666666666667,-7.26043551883257,0.483658519650448,841.164247286221,0,0,0,0.538330968481837
06-Aug-2010 12:00:00,1.07233333333333,2.52333333333333,3.43633333333333,2.64633333333333,NaN,281.31919563889,94.5316666666667,689.946826188102,223.978315054836,2.98633333333333,297.806580259223,88.4666666666667,-7.34206698039312,0.483427573909822,841.302007181442,0,0,0,0.538482846123611
06-Aug-2010 13:00:00,0.5065,2.53466666666667,3.44766666666667,2.65766666666667,NaN,328.175317650322,194.75,662.5456962446,207.727068793619,4.943,276.370887337986,79.9,NaN,0.483307330383344,841.452628394076,0,0,0,0.538634723765384
06-Aug-2010 14:00:00,0.509833333333333,2.53616666666667,3.44916666666667,2.65916666666667,NaN,322.788148427736,200.316666666667,584.380192755068,228.531322698571,3.89716666666667,253.622465935527,81.2,NaN,0.483192834635378,841.593916217099,0,0,0,0.538786601407158
06-Aug-2010 15:00:00,0.844333333333333,2.54541666666667,3.45841666666667,2.66841666666667,NaN,322.614750835776,169.766666666667,624.808906613493,207.012545696245,3.76933333333333,263.758723828515,81.0166666666667,NaN,0.483106905346618,841.791412933482,0,0,0,0.538938479048932
06-Aug-2010 16:00:00,2.23166666666667,2.546,3.459,2.669,NaN,284.81247922898,178.133333333333,436.208042539049,245.148138916583,1.75583333333333,200.448654037887,90.5666666666667,-6.64549087140096,0.482996174393578,842.035184769978,0,0,0,0.539090356690705
06-Aug-2010 17:00:00,2.326,2.54833333333333,3.46133333333333,2.67133333333333,NaN,302.941425722831,213.066666666667,219.724160850781,289.747673645729,0.497666666666667,106.214689265537,98.8566666666667,-2.70044269726363,0.482242893024085,842.294120089345,0,0,0,0.539242234332478
06-Aug-2010 18:00:00,1.9645,2.55616666666667,3.46916666666667,2.67916666666667,NaN,301.695164506481,206.2,256.231306081755,288.983300099701,0.725666666666667,121.552010634762,98.4433333333333,-2.98035392311724,0.47868229586701,842.454986065133,0,0,0,0.539394111974252
06-Aug-2010 19:00:00,2.50883333333333,2.55416666666667,3.46716666666667,2.67716666666667,NaN,307.378115653041,191.95,102.799933532735,306.763293452974,0.494833333333333,48.3532735127949,99.5666666666667,-1.80216783667837,0.472392546687168,842.351352466355,0,0,0,0.539545989616025
06-Aug-2010 20:00:00,3.31166666666667,2.55708333333333,3.47008333333333,2.68008333333333,NaN,310.751329345298,168.35,55.6630109670987,310.585161183117,0.161,25.761050182785,99.5733333333333,-1.0624088402542,0.461897373545278,842.478922426163,0,0,0,0.539697867257799
06-Aug-2010 21:00:00,3.679,2.57066666666667,3.48366666666667,2.69366666666667,NaN,312.878281821203,164.716666666667,8.47457627118644,307.211947490861,0.251166666666667,4.4130940511798,98.9,-0.560688480277842,0.454539364178369,842.538422029793,0,0,0,0.539849744899572
06-Aug-2010 22:00:00,3.72166666666667,2.56316666666667,3.47616666666667,2.68616666666667,NaN,312.296693253573,160.366666666667,0.397308075772683,308.906862745098,0.434833333333333,0.055167829843802,95.7879980563654,-0.702824788517745,0.451660269648587,842.642115915595,0,0,0,0.540001622541346
06-Aug-2010 23:00:00,3.87266666666667,2.559,3.472,2.682,NaN,313.675888999668,150.25,0,306.746676636756,0.0781666666666667,0,96.6447813411079,-0.378725484930489,0.452275261169429,842.734913761409,0,0,0,0.540153500183119
07-Aug-2010 00:00:00,3.966,2.55766666666667,3.47066666666667,2.68066666666667,NaN,314.556580259222,147.516666666667,0,289.681206380857,0.072,0,100,-0.0673425461046595,0.454871321838248,842.799979409251,0,0,0,0.540305377824893
07-Aug-2010 01:00:00,4.88833333333333,2.55933333333333,3.47233333333333,2.68233333333333,NaN,313.941758059156,154.1,0,307.045779328681,0.219666666666667,0,100,-0.321183587757095,0.463103510964066,842.699001142183,0,0,0,0.540300421105886
07-Aug-2010 02:00:00,5.48316666666667,2.5545,3.4675,2.6775,NaN,313.758973080758,154.366666666667,0,315.586822864739,0.413333333333333,0,100,-0.419503221673712,0.474741033021714,842.652410294671,0,0,0,0.540295464386879
07-Aug-2010 03:00:00,5.58083333333333,2.5655,3.4785,2.6885,NaN,313.758973080758,132.566666666667,0,313.808823529412,0.4975,0,100,-0.407549984739357,0.485027359668861,842.596427485478,0,0,0,0.540290507667871
07-Aug-2010 04:00:00,4.87683333333333,2.56233333333333,3.47533333333333,2.68533333333333,NaN,313.493104021269,123.95,2.48271851113327,312.878281821203,0.501333333333333,0.971086739780659,99.9623271311773,-0.460878389230468,0.500317875199107,842.601230536988,0,0,0,0.540285550948864
07-Aug-2010 05:00:00,6.02933333333333,2.55766666666667,3.47066666666667,2.68066666666667,NaN,312.778580923895,138.2,9.18062479228979,313.210618145563,0.496333333333333,4.86640079760718,100,-0.623438525030053,0.50854786819675,842.719715671727,0,0,0,0.540280594229857
07-Aug-2010 06:00:00,5.78516666666667,2.56233333333333,3.47533333333333,2.68533333333333,NaN,314.872299767364,133.783333333333,37.9378531073447,314.988617480891,0.362833333333333,19.8180458624128,100,-0.166454464913215,0.509898989502053,842.566432018373,0,0,0,0.54027563751085
07-Aug-2010 07:00:00,6.05633333333333,2.56433333333333,3.47733333333333,2.68733333333333,NaN,314.456879361914,131.833333333333,65.1910933865072,314.938767032237,0.322,34.6809571286142,100,-0.258913796285185,0.512244207476143,842.576515289159,0,0,0,0.540270680791843
07-Aug-2010 08:00:00,5.65816666666667,2.56141666666667,3.47441666666667,2.68441666666667,NaN,313.260468594217,122.916666666667,155.898969757395,315.553589232303,0.400666666666667,80.6580259222333,100,-0.531055159506603,0.513211817031765,842.444428457838,4.86022831701121e-05,0,4.86022831701121e-05,0.540265724072836
07-Aug-2010 09:00:00,7.14133333333333,2.5595,3.4725,2.6825,NaN,313.277085410435,130.6,205.815885676304,314.191010302426,0.340666666666667,106.497175141243,100,-0.518181054547985,0.514009014648119,842.384980026062,0.000166470153129922,6.97306079296141e-05,9.67395452003075e-05,0.540260767353828
07-Aug-2010 10:00:00,7.34216666666667,2.5615,3.4745,2.6845,NaN,313.094300432037,126,214.838816882685,311.48246925889,0.289166666666667,111.648388168827,100,-0.540959795833961,0.513957778809853,842.330247915277,0.000174388779540095,6.70596937302435e-05,0.000107329085809852,0.540255810634821
